rebalance_date,portfolio,theme,leader_count,selected_count,capture_rate
2019-12-31,concentrated,Banks - Regional,1,0,0.0
2019-12-31,concentrated,Commercial Services,2,0,0.0
2019-12-31,concentrated,Hotels Restaurants & Leisure,2,0,0.0
2019-12-31,concentrated,Medical Devices,4,0,0.0
2019-12-31,concentrated,Other,1,0,0.0
2019-12-31,concentrated,Pharmaceuticals,1,0,0.0
2019-12-31,main,Semiconductors,8,5,0.625
2019-12-31,main,Auto Manufacturers & Parts,2,1,0.5
2019-12-31,main,Apparel & Luxury,3,1,0.3333333333333333
2019-12-31,main,Medical Devices,4,1,0.25
2019-12-31,main,Banks - Diversified,1,0,0.0
2019-12-31,main,Banks - Regional,1,0,0.0
2019-12-31,main,Commercial Services,2,0,0.0
2019-12-31,main,Hotels Restaurants & Leisure,2,0,0.0
2019-12-31,main,Other,1,0,0.0
2019-12-31,main,Pharmaceuticals,1,0,0.0
2020-01-31,concentrated,Auto Manufacturers & Parts,1,1,1.0
2020-01-31,concentrated,Software - Application,8,3,0.375
2020-01-31,concentrated,Semiconductors,5,1,0.2
2020-01-31,concentrated,Banks - Diversified,1,0,0.0
2020-01-31,concentrated,Capital Markets,3,0,0.0
2020-01-31,concentrated,Commercial Services,2,0,0.0
2020-01-31,concentrated,Construction & Engineering,1,0,0.0
2020-01-31,concentrated,Hotels Restaurants & Leisure,1,0,0.0
2020-01-31,concentrated,Medical Devices,3,0,0.0
2020-01-31,main,Auto Manufacturers & Parts,1,1,1.0
2020-01-31,main,Software - Application,8,4,0.5
2020-01-31,main,Semiconductors,5,2,0.4
2020-01-31,main,Medical Devices,3,1,0.3333333333333333
2020-01-31,main,Banks - Diversified,1,0,0.0
2020-01-31,main,Capital Markets,3,0,0.0
2020-01-31,main,Commercial Services,2,0,0.0
2020-01-31,main,Construction & Engineering,1,0,0.0
2020-01-31,main,Hotels Restaurants & Leisure,1,0,0.0
2020-02-28,concentrated,Software - Application,6,1,0.16666666666666666
2020-02-28,concentrated,Biotechnology,4,0,0.0
2020-02-28,concentrated,Commercial Services,1,0,0.0
2020-02-28,concentrated,Communication Equipment,1,0,0.0
2020-02-28,concentrated,Construction & Engineering,1,0,0.0
2020-02-28,concentrated,Food Beverage & Tobacco,1,0,0.0
2020-02-28,concentrated,Household & Personal Products,1,0,0.0
2020-02-28,concentrated,Internet Content & Information,7,0,0.0
2020-02-28,concentrated,Semiconductors,3,0,0.0
2020-02-28,concentrated,Software - Infrastructure,1,0,0.0
2020-02-28,concentrated,Tech Hardware & Storage,1,0,0.0
2020-02-28,main,Software - Application,6,2,0.3333333333333333
2020-02-28,main,Biotechnology,4,0,0.0
2020-02-28,main,Commercial Services,1,0,0.0
2020-02-28,main,Communication Equipment,1,0,0.0
2020-02-28,main,Construction & Engineering,1,0,0.0
2020-02-28,main,Food Beverage & Tobacco,1,0,0.0
2020-02-28,main,Household & Personal Products,1,0,0.0
2020-02-28,main,Internet Content & Information,6,0,0.0
2020-02-28,main,Semiconductors,3,0,0.0
2020-02-28,main,Software - Infrastructure,1,0,0.0
2020-02-28,main,Tech Hardware & Storage,1,0,0.0
2020-03-31,concentrated,Software - Application,2,1,0.5
2020-03-31,concentrated,Biotechnology,4,0,0.0
2020-03-31,concentrated,Communication Equipment,1,0,0.0
2020-03-31,concentrated,Diagnostics & Research,6,0,0.0
2020-03-31,concentrated,Household & Personal Products,1,0,0.0
2020-03-31,concentrated,Internet Content & Information,5,0,0.0
2020-03-31,concentrated,Medical Devices,2,0,0.0
2020-03-31,concentrated,Pharmaceuticals,1,0,0.0
2020-03-31,concentrated,Semiconductors,2,0,0.0
2020-03-31,concentrated,Software - Infrastructure,1,0,0.0
2020-03-31,main,Software - Application,2,1,0.5
2020-03-31,main,Biotechnology,4,0,0.0
2020-03-31,main,Communication Equipment,1,0,0.0
2020-03-31,main,Diagnostics & Research,6,0,0.0
2020-03-31,main,Household & Personal Products,1,0,0.0
2020-03-31,main,Internet Content & Information,5,0,0.0
2020-03-31,main,Medical Devices,2,0,0.0
2020-03-31,main,Pharmaceuticals,1,0,0.0
2020-03-31,main,Semiconductors,2,0,0.0
2020-03-31,main,Software - Infrastructure,1,0,0.0
2020-04-30,concentrated,Software - Application,4,1,0.25
2020-04-30,concentrated,Biotechnology,3,0,0.0
2020-04-30,concentrated,Communication Equipment,1,0,0.0
2020-04-30,concentrated,Diagnostics & Research,7,0,0.0
2020-04-30,concentrated,Internet Content & Information,6,0,0.0
2020-04-30,concentrated,Medical Devices,2,0,0.0
2020-04-30,concentrated,Pharmaceuticals,4,0,0.0
2020-04-30,concentrated,Semiconductors,1,0,0.0
2020-04-30,concentrated,Software - Infrastructure,1,0,0.0
2020-04-30,main,Software - Application,4,1,0.25
2020-04-30,main,Diagnostics & Research,7,1,0.14285714285714285
2020-04-30,main,Biotechnology,3,0,0.0
2020-04-30,main,Communication Equipment,1,0,0.0
2020-04-30,main,Internet Content & Information,5,0,0.0
2020-04-30,main,Medical Devices,2,0,0.0
2020-04-30,main,Pharmaceuticals,3,0,0.0
2020-04-30,main,Semiconductors,1,0,0.0
2020-04-30,main,Software - Infrastructure,1,0,0.0
2020-05-29,concentrated,Software - Application,3,1,0.3333333333333333
2020-05-29,concentrated,Communication Equipment,2,0,0.0
2020-05-29,concentrated,Diagnostics & Research,7,0,0.0
2020-05-29,concentrated,Food & Staples Retailing,1,0,0.0
2020-05-29,concentrated,Internet Content & Information,5,0,0.0
2020-05-29,concentrated,Medical Devices,2,0,0.0
2020-05-29,concentrated,Pharmaceuticals,1,0,0.0
2020-05-29,concentrated,Software - Infrastructure,3,0,0.0
2020-05-29,concentrated,Transportation & Logistics,1,0,0.0
2020-05-29,main,Software - Application,3,1,0.3333333333333333
2020-05-29,main,Diagnostics & Research,7,1,0.14285714285714285
2020-05-29,main,Communication Equipment,2,0,0.0
2020-05-29,main,Food & Staples Retailing,1,0,0.0
2020-05-29,main,Internet Content & Information,5,0,0.0
2020-05-29,main,Medical Devices,2,0,0.0
2020-05-29,main,Pharmaceuticals,1,0,0.0
2020-05-29,main,Software - Infrastructure,3,0,0.0
2020-05-29,main,Transportation & Logistics,1,0,0.0
2020-06-30,concentrated,Software - Infrastructure,2,1,0.5
2020-06-30,concentrated,Internet Content & Information,8,3,0.375
2020-06-30,concentrated,Software - Application,7,1,0.14285714285714285
2020-06-30,concentrated,Auto Manufacturers & Parts,3,0,0.0
2020-06-30,concentrated,Semiconductors,2,0,0.0
2020-06-30,concentrated,Specialty Retail,2,0,0.0
2020-06-30,concentrated,Transportation & Logistics,1,0,0.0
2020-06-30,main,Software - Infrastructure,2,2,1.0
2020-06-30,main,Internet Content & Information,8,5,0.625
2020-06-30,main,Software - Application,7,1,0.14285714285714285
2020-06-30,main,Auto Manufacturers & Parts,3,0,0.0
2020-06-30,main,Semiconductors,2,0,0.0
2020-06-30,main,Specialty Retail,2,0,0.0
2020-06-30,main,Transportation & Logistics,1,0,0.0
2020-07-31,concentrated,Software - Infrastructure,2,1,0.5
2020-07-31,concentrated,Internet Content & Information,6,2,0.3333333333333333
2020-07-31,concentrated,Auto Manufacturers & Parts,1,0,0.0
2020-07-31,concentrated,Diagnostics & Research,3,0,0.0
2020-07-31,concentrated,Medical Devices,1,0,0.0
2020-07-31,concentrated,Semiconductors,2,0,0.0
2020-07-31,concentrated,Software - Application,3,0,0.0
2020-07-31,concentrated,Specialty Retail,2,0,0.0
2020-07-31,concentrated,Tech Hardware & Storage,4,0,0.0
2020-07-31,concentrated,Transportation & Logistics,1,0,0.0
2020-07-31,main,Software - Infrastructure,2,2,1.0
2020-07-31,main,Internet Content & Information,6,3,0.5
2020-07-31,main,Tech Hardware & Storage,4,1,0.25
2020-07-31,main,Auto Manufacturers & Parts,1,0,0.0
2020-07-31,main,Diagnostics & Research,3,0,0.0
2020-07-31,main,Medical Devices,1,0,0.0
2020-07-31,main,Semiconductors,2,0,0.0
2020-07-31,main,Software - Application,3,0,0.0
2020-07-31,main,Specialty Retail,2,0,0.0
2020-07-31,main,Transportation & Logistics,1,0,0.0
2020-08-31,concentrated,Diagnostics & Research,1,0,0.0
2020-08-31,concentrated,Food & Staples Retailing,1,0,0.0
2020-08-31,concentrated,Food Beverage & Tobacco,1,0,0.0
2020-08-31,concentrated,Internet Content & Information,3,0,0.0
2020-08-31,concentrated,Medical Devices,1,0,0.0
2020-08-31,concentrated,Other,2,0,0.0
2020-08-31,concentrated,Semiconductors,1,0,0.0
2020-08-31,concentrated,Software - Application,5,0,0.0
2020-08-31,concentrated,Specialty Retail,5,0,0.0
2020-08-31,concentrated,Tech Hardware & Storage,3,0,0.0
2020-08-31,concentrated,Transportation & Logistics,2,0,0.0
2020-08-31,main,Food Beverage & Tobacco,1,1,1.0
2020-08-31,main,Internet Content & Information,3,1,0.3333333333333333
2020-08-31,main,Software - Application,5,1,0.2
2020-08-31,main,Diagnostics & Research,1,0,0.0
2020-08-31,main,Food & Staples Retailing,1,0,0.0
2020-08-31,main,Medical Devices,1,0,0.0
2020-08-31,main,Other,2,0,0.0
2020-08-31,main,Semiconductors,1,0,0.0
2020-08-31,main,Specialty Retail,5,0,0.0
2020-08-31,main,Tech Hardware & Storage,3,0,0.0
2020-08-31,main,Transportation & Logistics,2,0,0.0
2020-09-30,concentrated,Auto Manufacturers & Parts,1,0,0.0
2020-09-30,concentrated,Capital Goods - Machinery,1,0,0.0
2020-09-30,concentrated,Chemicals,1,0,0.0
2020-09-30,concentrated,Construction & Engineering,5,0,0.0
2020-09-30,concentrated,Food & Staples Retailing,1,0,0.0
2020-09-30,concentrated,Food Beverage & Tobacco,1,0,0.0
2020-09-30,concentrated,Internet Content & Information,2,0,0.0
2020-09-30,concentrated,Other,2,0,0.0
2020-09-30,concentrated,Semiconductors,2,0,0.0
2020-09-30,concentrated,Software - Application,1,0,0.0
2020-09-30,concentrated,Specialty Retail,4,0,0.0
2020-09-30,concentrated,Tech Hardware & Storage,2,0,0.0
2020-09-30,concentrated,Transportation & Logistics,2,0,0.0
2020-09-30,main,Food Beverage & Tobacco,1,1,1.0
2020-09-30,main,Software - Application,1,1,1.0
2020-09-30,main,Auto Manufacturers & Parts,1,0,0.0
2020-09-30,main,Capital Goods - Machinery,1,0,0.0
2020-09-30,main,Chemicals,1,0,0.0
2020-09-30,main,Construction & Engineering,5,0,0.0
2020-09-30,main,Food & Staples Retailing,1,0,0.0
2020-09-30,main,Internet Content & Information,2,0,0.0
2020-09-30,main,Other,2,0,0.0
2020-09-30,main,Semiconductors,2,0,0.0
2020-09-30,main,Specialty Retail,4,0,0.0
2020-09-30,main,Tech Hardware & Storage,2,0,0.0
2020-09-30,main,Transportation & Logistics,2,0,0.0
2020-10-30,concentrated,Medical Devices,1,1,1.0
