portfolio_kind,variant_id,window,start,end,window_return,window_mdd,avg_cash_weight,position_count_avg
concentrated,concentrated_N3_cap40_sub70_risk,covid_2020,2020-02-01,2020-05-31,-0.006488256848667495,-0.3136338165626582,0.515361250304314,3.0
concentrated,concentrated_N3_cap40_sub70_risk,inflation_2022,2021-11-01,2022-12-31,-0.3348088570090918,-0.425262585895693,0.429609702437126,3.0
concentrated,concentrated_N3_cap40_sub70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4536192804717283,-0.1480450674233199,0.028952323296714183,3.0
concentrated,concentrated_N3_cap40_sub70_risk,latest_12m,2025-06-18,2026-06-18,2.5175852787572737,-0.25475499442176974,0.08314567274577299,3.0
concentrated,concentrated_N3_cap40_sub80,covid_2020,2020-02-01,2020-05-31,0.10547330833041091,-0.5073661126933036,0.1703574130962101,3.0
concentrated,concentrated_N3_cap40_sub80,inflation_2022,2021-11-01,2022-12-31,-0.3064895504288232,-0.4610913537282537,0.009545384635888724,3.0
concentrated,concentrated_N3_cap40_sub80,ai_semis_2024,2024-01-01,2024-12-31,0.4532177011717706,-0.1481394572258371,0.028811692182591983,3.0
concentrated,concentrated_N3_cap40_sub80,latest_12m,2025-06-18,2026-06-18,3.389442916273892,-0.25483945943378783,0.03373759289700796,3.0
concentrated,concentrated_N3_cap40_sub80_risk,covid_2020,2020-02-01,2020-05-31,-0.006488256848667495,-0.3136338165626582,0.515361250304314,3.0
concentrated,concentrated_N3_cap40_sub80_risk,inflation_2022,2021-11-01,2022-12-31,-0.3428475347246852,-0.43221717709415486,0.4254101467051122,3.0
concentrated,concentrated_N3_cap40_sub80_risk,ai_semis_2024,2024-01-01,2024-12-31,0.45359382047298524,-0.14796080191240824,0.02906965045673153,3.0
concentrated,concentrated_N3_cap40_sub80_risk,latest_12m,2025-06-18,2026-06-18,2.516241520097991,-0.25482764300618044,0.08309175022442519,3.0
concentrated,concentrated_N3_cap45_sub70,covid_2020,2020-02-01,2020-05-31,0.11155450379901333,-0.5407801824866003,0.10674958169384303,3.0
concentrated,concentrated_N3_cap45_sub70,inflation_2022,2021-11-01,2022-12-31,-0.2921306065795406,-0.45210770619905083,0.01378035919791912,3.0
concentrated,concentrated_N3_cap45_sub70,ai_semis_2024,2024-01-01,2024-12-31,0.47490522733339424,-0.14750760800418206,0.01303311590949235,3.0
concentrated,concentrated_N3_cap45_sub70,latest_12m,2025-06-18,2026-06-18,3.4998056477200787,-0.27919480654186934,0.01559806559083565,3.0
concentrated,concentrated_N3_cap45_sub70_risk,covid_2020,2020-02-01,2020-05-31,-0.005863719048728622,-0.3341147993388546,0.4785765548264533,3.0
concentrated,concentrated_N3_cap45_sub70_risk,inflation_2022,2021-11-01,2022-12-31,-0.3354492986345009,-0.42818978282706,0.4270115080188345,3.0
concentrated,concentrated_N3_cap45_sub70_risk,ai_semis_2024,2024-01-01,2024-12-31,0.4752094950655896,-0.1473643302420794,0.013220432808297659,3.0
concentrated,concentrated_N3_cap45_sub70_risk,latest_12m,2025-06-18,2026-06-18,2.604029244500966,-0.2791091568609356,0.06517324445616406,3.0
concentrated,concentrated_N3_cap45_sub80,covid_2020,2020-02-01,2020-05-31,0.11155450379901333,-0.5407801824866003,0.10674958169384303,3.0
concentrated,concentrated_N3_cap45_sub80,inflation_2022,2021-11-01,2022-12-31,-0.31109159388182683,-0.466790743555756,0.00577853056383938,3.0
concentrated,concentrated_N3_cap45_sub80,ai_semis_2024,2024-01-01,2024-12-31,0.4751817451309073,-0.14737022821953139,0.01313108863193945,3.0
