rebalance_date,next_rebalance_date,gross_return,cost,net_return,turnover,missing_tickers,cash_weight,rebalance_action,active_rebalance_interval_months,next_scheduled_rebalance_date,target_n,weighting_mode,portfolio_mode,raw_gross_return,position_risk_return_delta,position_risk_exit_count,position_risk_enabled,position_risk_hard_stop,equity,equity_value_usd,bench_return,benchmark_equity,benchmark_value_usd,target_stock_names
2025-09-30,2025-10-31,-0.0242023508170453,0.0,-0.0242023508170453,0.0,0,0.0,scheduled_hold,2,2025-10-31,2,conviction_curve,concentrated_alpha,-0.0242023508170453,0.0,0,True,-0.08,4.418506754059187,441850.67540591874,0.020975384431994426,2.343571396811607,234357.1396811607,2
2025-10-31,2025-11-28,-0.01439694071192088,0.005,-0.01939694071192088,1.0,0,0.0,rebalance,2,2025-12-31,2,conviction_curve,concentrated_alpha,-0.01439694071192088,0.0,0,True,-0.08,4.332801240515479,433280.12405154796,-0.005741414512906551,2.33011598198192,233011.598198192,2
2025-11-28,2025-12-31,0.23550350362996877,0.0,0.23550350362996877,0.0,0,0.0,scheduled_hold,2,2025-12-31,2,conviction_curve,concentrated_alpha,0.23550350362996877,0.0,0,True,-0.08,5.35319111318915,535319.111318915,0.006728678938970667,2.345794584315241,234579.45843152408,2
2025-12-31,2026-01-30,0.3712078369533665,0.00012842141666040974,0.3710794155367061,0.025684283332081947,0,0.0,rebalance,2,2026-02-27,2,conviction_curve,concentrated_alpha,0.3712078369533665,0.0,0,True,-0.08,7.3396501427276695,733965.014272767,0.017200629294871872,2.3861437273619654,238614.37273619656,2
2026-01-30,2026-02-27,-0.023507688768711815,0.0,-0.023507688768711815,0.0,0,0.0,scheduled_hold,2,2026-02-27,2,conviction_curve,concentrated_alpha,-0.023507688768711815,0.0,0,True,-0.08,7.167111931501196,716711.1931501196,-0.013591459254290061,2.3537125521166455,235371.25521166457,2
2026-02-27,2026-03-31,0.01620680711766221,0.005,0.011206807117662209,1.0,0,0.0,rebalance,2,2026-04-30,2,conviction_curve,concentrated_alpha,0.01620680711766221,0.0,0,True,-0.08,7.247432372508227,724743.2372508227,-0.044509868315890766,2.2489491163684745,224894.91163684745,2
2019-04-30,2019-05-31,0.012671526012792755,0.0025,0.010171526012792755,0.5,0,0.0,initial_rebalance,2,2019-06-28,2,winner_take_all,concentrated_alpha,0.012671526012792755,0.0,0,True,-0.08,1.0101715260127928,101017.15260127927,-0.06131893163869451,0.9386810683613055,93868.10683613055,2
2019-05-31,2019-06-28,0.042383448480421304,0.0,0.042383448480421304,0.0,0,0.0,scheduled_hold,2,2019-06-28,2,winner_take_all,concentrated_alpha,0.042383448480421304,0.0,0,True,-0.08,1.0529860788419445,105298.60788419445,0.08011805644118142,1.0138863711765451,101388.6371176545,2
2019-06-28,2019-07-31,0.015825227504955297,0.005,0.010825227504955296,1.0,0,0.0,rebalance,2,2019-08-30,2,winner_take_all,concentrated_alpha,0.015825227504955297,0.0,0,True,-0.08,1.0643848927049595,106438.48927049595,-0.0036331987329345505,1.0102027204974469,101020.27204974469,2
2019-07-31,2019-08-30,0.02212218561564616,0.0,0.02212218561564616,0.0,0,0.0,scheduled_hold,2,2019-08-30,2,winner_take_all,concentrated_alpha,0.02212218561564616,0.0,0,True,-0.08,1.0879314128678683,108793.14128678683,-0.01601118650035893,0.9940281763363923,99402.81763363924,2
2019-08-30,2019-09-30,-0.04154683036749873,0.005,-0.04654683036749873,1.0,0,0.0,rebalance,2,2019-10-31,2,winner_take_all,concentrated_alpha,-0.04154683036749873,0.0,0,True,-0.08,1.0372916539416344,103729.16539416344,0.011691962549935209,1.0056503165476978,100565.03165476977,2
2019-09-30,2019-10-31,0.041093488881611906,0.0,0.041093488881611906,0.0,0,0.0,scheduled_hold,2,2019-10-31,2,winner_take_all,concentrated_alpha,0.041093488881611906,0.0,0,True,-0.08,1.0799175869898738,107991.75869898738,0.043077969560411544,1.0489716902723578,104897.16902723578,2
2019-10-31,2019-11-29,-0.0619733610289851,0.005,-0.0669733610289851,1.0,0,0.0,rebalance,2,2019-12-31,2,winner_take_all,concentrated_alpha,-0.0619733610289851,0.0,0,True,-0.08,1.0075918765548506,100759.18765548506,0.01531182851795454,1.0650333649139971,106503.3364913997,2
