rebalance_date,market_style_regime_label,style_breakout_preference,style_turnaround_preference,style_quality_compounder_preference,style_cash_defense_preference,style_liquidity_tailwind_score,style_rate_pressure_score,style_inflation_pressure_score,style_overheat_risk_score,n_candidates,top_breakout,top_turnaround,top_compounder
2023-07-31,quality_compounder,0.290796375386011,0.3575502030345067,0.5945546770310549,0.0339162676034453,0.1440643594108373,0.49016800508306635,0.5689074387375611,0.2199146870890531,559,"ADBE,ON,AAPL,GOOGL,GOOG","TW,EWBC,HBAN,CACC,BPOP","CHH,EXP,TER,STLD,WMS"
2023-08-31,quality_compounder,0.1832230398207111,0.1959166398726866,0.6152623710684401,0.3136987657719517,0.1278225705445732,0.0537296635986024,0.0817450414829197,0.1361007563633767,547,"AVGO,ADBE,ANET,EXE,FANG","MOS,LYB,FTAI,ORLY,OLN","EXP,MLI,TPR,DRI,JBHT"
2023-09-29,quality_compounder,0.0901916137545435,0.2704021387171355,0.7887662943066656,0.5233030399802758,0.1057174667083336,0.7221743544945676,0.46847091120444,0.386471747372584,551,"LOPE,AMGN,AKAM,WU,FANG","AMGN,CHTR,GILD,FTAI,TXT","EXP,SSD,MLI,TPR,JBHT"
2023-10-31,balanced,0.0085707666751689,0.3388880429564391,0.4051381833477344,0.3728078890815101,0.151512825612394,0.2979735497556649,0.1073756709399025,0.1849682483358571,558,"TW,ANET,TMUS,ALL,DECK","VALE,GILD,AMGN,STLD,ETR","MA,SSD,TPR,ELV,VMC"
2023-11-30,turnaround_accumulation,0.4541908205166733,0.4663056471805649,0.3154000403731476,0.0342984623884732,0.4683801996042097,0.0,0.0,0.0943999351704138,552,"FICO,MSFT,TW,QCOM,CPRT","ALLY,MA,TGT,OMF,AXP","ELV,LRCX,MA,ABNB,CTAS"
2023-12-29,balanced,0.3756475877422297,0.366937656408038,0.3353372388102364,0.04,0.2507332814731361,0.0,0.0,0.1123524599496318,566,"FICO,EXP,LRCX,AMAT,WMS","OGE,ABNB,TOL,EXPE,TPR","ELV,NFG,LRCX,AVGO,CTAS"
2024-01-31,quality_compounder,0.2050402653634316,0.2528197082394756,0.46621573425271823,0.153274997169261,0.0924604045051839,0.1402188046406225,0.1775804664241021,0.1897024277167519,569,"MA,MSFT,GEN,ISRG,FDS","QGEN,AVGO,LRCX,AMD,AMKR","FDS,ELV,NFG,LRCX,AVGO"
2024-02-29,balanced,0.234843882102202,0.2795443884549365,0.4021301218815853,0.0366051517723268,0.1786501560743062,0.3342857142857141,0.0,0.1996530715951444,586,"NVDA,FANG,MLI,URI,PR","VKTX,SMCI,UTHR,INSM,SRPT","MA,FANG,MLI,FDS,WM"
2024-03-28,quality_compounder,0.177475259506529,0.2614379201096486,0.4697602386781038,0.0844278644500147,0.091970077371913,0.1736880776271737,0.3430278239965332,0.1838479398752049,579,"FANG,FISV,CPRT,URI,EW","FANG,NFG,DTM,ENB,AM","MA,FANG,FDS,MLI,WM"
2024-04-30,quality_compounder,0.0978738620134163,0.2334361942836686,0.7797940286685694,0.44258832964616024,0.0476186199952873,0.823659577190025,0.6473191543800502,0.3931607869618496,595,"PEG,WING,HIW,FCX,SCCO","PBR,DAR,ENB,KHC,POST","MA,FANG,FWONK,CHH,UTHR"
2024-05-31,balanced,0.3416210820540525,0.3166413043124482,0.3380387676556854,0.0310813420500139,0.2152307685998186,0.0103928253637253,0.0207856507274506,0.1224408646301506,591,"CHRD,PEG,TKO,CROX,SO","DAR,CMCSA,CRS,T,RGLD","LNG,CHH,AMT,NVDA,IEX"
2024-06-28,balanced,0.2772278388906699,0.3345532099390064,0.3520795894795513,0.049444035257493,0.144089332781048,0.0,0.0,0.0866717777940735,596,"ANET,FICO,DTM,OLED,GOOGL","HPE,AMT,AVB,CMCSA,ELS","CHH,AMT,LNG,NVDA,IEX"
2024-07-31,quality_compounder,0.1151336430094455,0.20833609257774038,0.5622948174093169,0.4893711883358346,0.1363055904709253,0.0,0.0,0.3094320224176848,619,"LNG,ALSN,TPL,ODFL,PEG","GILD,BIIB,AMT,HIW,BXP","LNG,NVDA,CHH,WM,SEIC"
2024-08-30,balanced,0.3200290444768929,0.3106324265043292,0.3362484952666879,0.056441333093815306,0.2775923278745748,0.022888556570575,0.04577711314115,0.1484216167069123,597,"SPGI,FISV,UTHR,ICE,DTM","DUOL,WDAY,APPF,PLTR,BSY","CHH,LNG,WM,SEIC,CRS"
2024-09-30,balanced,0.3348211355694471,0.2924663314675454,0.4222495225803432,0.0421593188250122,0.1511956979091188,0.1311161620022491,0.2551746537287627,0.1696910915341527,604,"ORCL,PEG,FISV,TW,POOL","ORLY,AN,BC,LI,BAX","CHH,LNG,WM,SEIC,CRS"
