date,base_equity_usd,overlay_equity_usd,base_cash_weight,overlay_cash_weight,crisis_state,policy_cash_floor,equity_drawdown_cash_floor,target_cash_weight_next,cash_action,turnover_from_cash_action,cash_action_cost_usd,base_equity_usd_peak,overlay_equity_usd_peak,base_drawdown,overlay_drawdown
2021-09-17,251473.7460866141,148276.7610716014,0.147915049660897,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.017119138600405148,-0.09537811421182618
2021-09-20,245309.19704486604,145930.5798949527,0.151632111999495,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.04121317372964883,-0.1096919340247351
2021-09-21,244424.30045367952,145589.30568693255,0.1521810702609024,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.044671777012615044,-0.11177401428733935
2021-09-22,246628.30156757112,146440.94653564497,0.1508210996239706,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.03605747612809518,-0.10657823751821738
2021-09-23,249728.57366229768,147633.23933549158,0.1489487209866246,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.02394011535203855,-0.09930417681434167
2021-09-24,244671.00391437288,145700.9829379686,0.1520276250381962,0.45000000000000007,WATCH,0.25,0.45,0.45000000000000007,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.0437075407305777,-0.1110926824002536
2021-09-27,240407.4537129569,143982.1881153785,0.1547237869139686,0.65,WATCH,0.25,0.65,0.65,RAISE_CASH,0.19999999999999996,72.02710761149498,255853.741753118,163910.20756966504,-0.060371554210318146,-0.12157887998413253
2021-09-28,231481.24701740025,141768.59815445685,0.1606901298489085,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.09525948132990603,-0.13508377387538584
2021-09-29,230808.10038043733,141596.6808369613,0.1611587790008345,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.09789046351664488,-0.13613262446281782
2021-09-30,232180.3354115653,141947.93283975084,0.160206296432805,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.09252710622616567,-0.13398967065903944
2021-10-01,232474.0643049979,142022.77490055983,0.4650300444541759,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.09137907183972294,-0.13353306663224518
2021-10-04,226799.01224200963,139754.51932222105,0.4766662049781695,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.11355991634917839,-0.14737147006038265
2021-10-05,229524.523426702,140877.73183814285,0.4710059859582713,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.10290730221886668,-0.14051886135116354
2021-10-06,228535.02295367955,140475.89795958085,0.4730453260991328,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.1067747479956701,-0.14297041018707857
2021-10-07,228767.26364581825,140570.71407368162,0.4725650984118518,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.10586703919865437,-0.14239194643240072
2021-10-08,226367.09953754183,139592.03322425307,0.4775756931067054,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.11524803981185794,-0.1483627817082488
2021-10-11,226392.5037733817,139602.52860339102,0.4775221027919342,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.11514874778796258,-0.14829875043592256
2021-10-12,228569.6600081229,140501.86249277886,0.4729736416213517,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.10663936965722565,-0.14281200313249054
2021-10-13,233339.5953108573,142449.06758017128,0.4633050996517516,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.0879961586177832,-0.1309322970649791
2021-10-14,234759.0139967704,143014.1636208143,0.4605038273831027,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.08244838481472205,-0.12748470189063432
2021-10-15,233728.23866718053,142606.78290602998,0.4625347158506452,0.65,WATCH,0.25,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.08647715266672595,-0.12997009142692162
2021-10-18,234706.0654494071,142995.2985862201,0.460607714807863,0.65,GREEN,0.03,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.08265533331193964,-0.12759979560489354
2021-10-19,235387.1756636405,143264.56249926178,0.4592749122946172,0.65,GREEN,0.03,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.07999322561882405,-0.12595704304522015
2021-10-20,236365.50049274205,143649.97924508026,0.4573739578442233,0.65,GREEN,0.03,0.65,0.65,HOLD_CASH,0.0,0.0,255853.741753118,163910.20756966504,-0.07616945965629385,-0.12360565351595798
