rebalance_date,target_n,single_name_cap,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2022-07-29,3,0.5,0.09523894103055922,0.005,1.0,0.09023894103055921,0.0,3,"ALB,NEE,DHR",0.9916109863708373,-0.3735222395783294
2022-08-31,3,0.5,-0.025699115153581593,0.0034145289503777947,0.682905790075559,-0.029113644103959387,0.0,3,"DKS,NEE,ANET",0.9627415770240607,-0.3917612901342914
2022-09-30,3,0.5,0.07543229969932286,0.005,1.0,0.07043229969932285,0.0,2,"BJ,SJM",1.0305496803100183,-0.3489216390323002
2022-10-31,3,0.5,-0.07830957286345211,0.005,1.0,-0.08330957286345211,0.0,3,"WCC,DAR,AFG",0.9446950266288235,-0.4031626991851558
2022-11-30,3,0.5,-0.0791708625525721,0.005,1.0,-0.0841708625525721,0.0,3,"JBL,COST,CSCO",0.8651792313883504,-0.45339900959829016
2022-12-30,3,0.5,0.030023756623701024,0.005,1.0,0.025023756623701023,0.0,3,"AVGO,PG,ORCL",0.8868292659104932,-0.43972099944420384
2023-01-31,3,0.5,0.04395278137711087,0.005,1.0,0.03895278137711087,0.0,3,"AMAT,ADI,MA",0.9213737324243283,-0.41789657402536773
2023-02-28,3,0.5,0.08171606545879406,0.005,1.0,0.07671606545879406,0.0,3,"FTNT,AAPL,KBR",0.9920578999930065,-0.3732398894945096
2023-03-31,3,0.5,-0.009412398464484426,0.003180260069591702,0.6360520139183404,-0.012592658534076127,0.0,3,"AVGO,AAPL,QCOM",0.979565253612362,-0.381132465548885
2023-04-28,3,0.5,-0.1002052623746181,0.005,1.0,-0.10520526237461811,0.0,3,"AZO,KO,TRGP",0.8765098340930141,-0.4462405868859476
2023-05-31,3,0.5,0.0812027539066727,0.005,1.0,0.0762027539066727,0.0,3,"AVGO,MCK,ACN",0.9433022972771826,-0.4040425946049139
2023-06-30,3,0.5,0.03782203320564123,0.005,1.0,0.032822033205641234,0.0,3,"TRGP,LOW,MA",0.974263396601372,-0.38448206085588865
2023-07-31,3,0.5,0.028095938620992016,0.005,1.0,0.023095938620992015,0.0,3,"LNG,MTDR,QCOM",0.9967649242099563,-0.37026609631329677
2023-08-31,3,0.5,-0.019661086595856667,0.002960691401933382,0.5921382803866764,-0.022621777997790048,0.0,3,"FANG,LNG,DINO",0.9742163293784947,-0.3845117968801791
2023-09-29,3,0.5,0.020482792929458017,0.00046459806882287376,0.09291961376457475,0.020018194860635143,0.0,3,"FANG,LNG,UNH",0.993718381696406,-0.3721908340957044
2023-10-31,3,0.5,0.08621783944908315,0.005,1.0,0.08121783944908315,0.0,3,"ORLY,STLD,CTAS",1.0744260416786275,-0.3212015300546265
2023-11-30,3,0.5,0.04311759833788227,0.005,1.0,0.03811759833788227,0.0,3,"V,COST,AZO",1.1153805819790943,-0.2953273626248796
2023-12-29,3,0.5,0.0284255067927799,0.0025,0.5,0.0259255067927799,0.0,3,"V,ADI,ELV",1.1442973888337282,-0.27705836737792466
2024-01-31,3,0.5,0.025484318358605134,0.0025,0.5,0.022984318358605135,0.0,3,"ELV,ADI,HEI",1.1705982843156033,-0.26044204673904914
2024-02-29,3,0.5,-0.008217618286481744,0.005,1.0,-0.013217618286481745,0.0,3,"FTNT,TMO,KO",1.1551257630267093,-0.270217241465984
2024-03-28,3,0.5,0.002754257786605407,0.005,1.0,-0.002245742213394593,0.0,3,"PG,MRSH,FSLR",1.1525316483389005,-0.2718561454134314
2024-04-30,3,0.5,0.24166915569221836,0.0041066038119017215,0.8213207623803443,0.23756255188031664,0.0,3,"CHRD,FSLR,NOC",1.4263300078411174,-0.098876433181876
2024-05-31,3,0.5,0.07988935067353241,0.005,1.0,0.0748893506735324,0.0,3,"AAPL,MRSH,KO",1.5331469359745131,-0.03139187438624924
2024-06-28,3,0.5,-0.0678297456119175,0.005,1.0,-0.0728297456119175,0.0,3,"ANET,ACLS,TMUS",1.4214882346417985,-0.10193535777233498
2024-07-31,3,0.5,0.006373897528573204,0.005,1.0,0.001373897528573204,0.0,3,"LNG,HD,MRSH",1.423441213814269,-0.10070150897987928
2024-08-30,3,0.5,0.04061579830870546,0.005,1.0,0.03561579830870546,0.0,3,"BLDR,MA,ADBE",1.474138208989777,-0.06867227530438336
2024-09-30,3,0.5,-0.037780188045439776,0.001121316208602654,0.2242632417205308,-0.03890150425404243,0.0,3,"BLDR,MA,CSCO",1.4167920151817148,-0.10490232474853745
2024-10-31,3,0.5,0.11269818673359715,0.005,1.0,0.10769818673359714,0.0,3,"PANW,DECK,GOOGL",1.5693779461954245,-0.008501928174496798
2024-11-29,3,0.5,-0.00971327119503134,0.005,1.0,-0.014713271195031342,0.0,3,"MSFT,INTU,PG",1.54628726286555,-0.0230901081946161
2024-12-31,3,0.5,0.07447376726186872,0.005,1.0,0.06947376726186871,0.0,3,"V,GOOGL,GOOG",1.653713664285863,0.0
2025-01-31,3,0.5,0.05749324776546043,0.005,1.0,0.05249324776546043,0.0,3,"COST,MCK,DKNG",1.7405224653983484,0.0
2025-02-28,3,0.5,-0.08457448245700785,0.005,1.0,-0.08957448245700786,0.0,3,"UBER,PANW,AAPL",1.584616066355496,-0.08957448245700783
2025-03-31,3,0.5,-0.0707850009563568,0.005,1.0,-0.0757850009563568,0.0,3,"AMGN,MRSH,PG",1.4645259362512864,-0.1585710811746952
2025-04-30,3,0.5,0.04555676129144805,0.005,1.0,0.04055676129144805,0.0,3,"COST,MA,PANW",1.5239223650529643,-0.12444544937017599
2025-05-30,3,0.5,0.19722170554951776,0.005,1.0,0.19222170554951776,0.0,3,"NVDA,COIN,DASH",1.8168533211884998,0.0
2025-06-30,3,0.5,0.11853416646565527,0.005,1.0,0.11353416646565527,0.0,3,"ANET,WMT,AMZN",2.0231282485999937,0.0
2025-07-31,3,0.5,0.0656344717039588,0.004292960341794737,0.8585920683589473,0.06134151136216406,0.0,3,"AMZN,GOOGL,GOOG",2.1472299930486054,0.0
2025-08-29,3,0.5,0.0427203567889243,0.0035119292537730703,0.702385850754614,0.03920842753515123,0.0,3,"PDD,AMZN,MSI",2.231419504632355,0.0
2025-09-30,3,0.5,0.15238622680972133,0.005,1.0,0.14738622680972133,0.0,3,"NVDA,LRCX,WDC",2.5603000058497347,0.0
2025-10-31,3,0.5,-0.03960765575071978,0.002411115001928925,0.48222300038578503,-0.042018770752648704,0.0,3,"LRCX,NVDA,MU",2.4527193468459294,-0.042018770752648815
2025-11-28,3,0.5,-0.04162504370817731,0.005,1.0,-0.046625043708177306,0.0,3,"NI,ATO,AEE",2.338361200095346,-0.0866846874379199
2025-12-31,3,0.5,-0.04384681243098031,0.005,1.0,-0.04884681243098031,0.0,3,"V,MA,DIS",2.2241397091584068,-0.13129722920098197
2026-01-30,3,0.5,0.07705497735154924,0.005,1.0,0.07205497735154924,1.1102230246251565e-16,3,"CME,CMCSA,PBA",2.3844000455284973,-0.06870287072583048
2026-02-27,3,0.5,-0.038259146439249735,0.004999999999999999,0.9999999999999999,-0.04325914643924973,0.0,3,"COST,DRS,PG",2.2812529347892263,-0.10898998961955475
2026-03-31,3,0.5,0.02596737056964645,0.0025,0.5,0.023467370569646453,0.0,3,"TRGP,COST,DRS",2.3347879427730187,-0.08808032752469219
