rebalance_date,portfolio_kind,variant_id,avg_name_overlap,monthly_turnover_proxy,median_holding_months,leader_exit_count,warning_hold_count,shakeout_guard_count,benchmark_risk_score,gross_exposure_cap,market_regime,residual_cash_reason
2019-07-31,main,main_N15_cap15_sub50_theme60_risk,0.8666666666666667,0.24717116338691167,2.0,0,1,5,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N15_cap15_sub50_theme70,0.8666666666666667,0.21780917846800724,2.0,0,1,5,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N15_cap15_sub50_theme70_risk,0.8666666666666667,0.21780917846800724,2.0,0,1,5,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub40_theme60,0.8888888888888888,0.23558513517757673,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub40_theme60_risk,0.8888888888888888,0.23558513517757673,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub40_theme70,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub40_theme70_risk,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub50_theme60,0.8888888888888888,0.23558513517757673,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub50_theme60_risk,0.8888888888888888,0.23558513517757673,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub50_theme70,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap12_sub50_theme70_risk,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub40_theme60,0.8888888888888888,0.240271172239834,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub40_theme60_risk,0.8888888888888888,0.240271172239834,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub40_theme70,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub40_theme70_risk,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub50_theme60,0.8888888888888888,0.240271172239834,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub50_theme60_risk,0.8888888888888888,0.240271172239834,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub50_theme70,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,main,main_N18_cap15_sub50_theme70_risk,0.8888888888888888,0.2190689497275191,2.0,0,2,6,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,concentrated,concentrated_N3_cap40_sub70,1.0,0.0,2.0,0,0,1,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,concentrated,concentrated_N3_cap40_sub70_risk,1.0,0.0,2.0,0,0,1,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,concentrated,concentrated_N3_cap40_sub80,1.0,0.0,2.0,0,0,1,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,concentrated,concentrated_N3_cap40_sub80_risk,1.0,0.0,2.0,0,0,1,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
2019-07-31,concentrated,concentrated_N3_cap45_sub70,1.0,0.046012419271848404,2.0,0,0,1,0.0,1.0,risk_on,position_caps_or_liquidity_caps_left_cash
