ticker,Name,Sector,Asset Class,Market Value
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"21,482,309.29"
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"64,355,871.12"
CDW,CDW CORP,Information Technology,Equity,"12,201,261.93"
CE,CELANESE CORP,Materials,Equity,"4,939,810.28"
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"68,981,257.90"
CELH,CELSIUS HOLDINGS INC,Consumer Staples,Equity,"3,795,126.52"
CERT,CERTARA INC,Health Care,Equity,"502,014.24"
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity,"13,443,773.46"
CFG,CITIZENS FINANCIAL GROUP INC,Financials,Equity,"19,594,848.74"
CFR,CULLEN FROST BANKERS INC,Financials,Equity,"5,881,366.08"
CG,CARLYLE GROUP INC,Financials,Equity,"8,697,733.52"
CGNX,COGNEX CORP,Information Technology,Equity,"6,628,814.43"
CHD,CHURCH AND DWIGHT INC,Consumer Staples,Equity,"16,036,453.80"
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,Equity,"4,550,578.31"
CHE,CHEMED CORP,Health Care,Equity,"4,200,145.92"
CHH,CHOICE HOTELS INTERNATIONAL INC,Consumer Discretionary,Equity,"2,159,361.92"
CHRD,CHORD ENERGY CORP,Energy,Equity,"5,633,035.59"
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,Equity,"15,522,946.60"
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,"10,207,525.99"
CHWY,CHEWY INC CLASS A,Consumer Discretionary,Equity,"4,087,859.36"
CI,CIGNA,Health Care,Equity,"52,202,133.72"
CIEN,CIENA CORP,Information Technology,Equity,"50,093,228.88"
CINF,CINCINNATI FINANCIAL CORP,Financials,Equity,"17,900,714.80"
CL,COLGATE-PALMOLIVE,Consumer Staples,Equity,"47,399,662.14"
CLF,CLEVELAND CLIFFS INC,Materials,Equity,"4,156,679.70"
CLH,CLEAN HARBORS INC,Industrials,Equity,"10,774,375.14"
CLVT,CLARIVATE PLC,Industrials,Equity,"701,254.98"
CLX,CLOROX,Consumer Staples,Equity,"8,360,993.34"
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"69,733,118.28"
CME,CME GROUP INC CLASS A,Financials,Equity,"71,066,360.28"
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"30,974,198.20"
CMI,CUMMINS INC,Industrials,Equity,"63,767,913.12"
CMS,CMS ENERGY CORP,Utilities,Equity,"16,157,354.85"
CNA,CNA FINANCIAL CORP,Financials,Equity,"829,632.00"
CNC,CENTENE CORP,Health Care,Equity,"14,793,610.50"
CNH,CNH INDUSTRIAL N.V. NV,Industrials,Equity,"6,248,892.00"
CNM,CORE & MAIN INC CLASS A,Industrials,Equity,"6,773,210.08"
CNP,CENTERPOINT ENERGY INC,Utilities,Equity,"19,663,220.73"
CNXC,CONCENTRIX CORP,Industrials,Equity,"779,194.08"
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"83,546,690.99"
COHR,COHERENT CORP,Information Technology,Equity,"39,380,351.34"
COIN,COINBASE GLOBAL INC CLASS A,Financials,Equity,"30,658,675.08"
COKE,COCA COLA CONSOLIDATED INC,Consumer Staples,Equity,"7,678,019.16"
COLB,COLUMBIA BANKING SYSTEM INC,Financials,Equity,"6,168,084.60"
COLD,AMERICOLD REALTY INC TRUST,Real Estate,Equity,"2,445,330.56"
COLM,COLUMBIA SPORTSWEAR,Consumer Discretionary,Equity,"1,105,303.68"
COO,COOPER INC,Health Care,Equity,"8,905,685.44"
COP,CONOCOPHILLIPS,Energy,Equity,"105,713,515.44"
COR,CENCORA INC,Health Care,Equity,"39,776,469.20"
CORT,CORCEPT THERAPEUTICS INC,Health Care,Equity,"3,025,930.96"
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"310,828,218.48"
COTY,COTY INC CLASS A,Consumer Staples,Equity,"650,616.00"
