rebalance_date,regime_state,active,gross_return,cost,turnover,net_return,n_positions,selected_tickers,equity,drawdown
2024-02-29,neutral,False,0.0,0.0,0.0,0.0,0,,1.0182778430468609,-0.006224538269230084
2024-03-28,strong_bull,True,-0.004163520031732711,0.00025,0.05,-0.004413520031732711,3,"CROX,SRPT,MTZ",1.013783653388704,-0.01061058617662336
2024-04-30,neutral,False,0.0,0.00025,0.05,-0.00025,0,,1.0135302074753567,-0.010857933530079245
2024-05-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0135302074753567,-0.010857933530079245
2024-06-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0135302074753567,-0.010857933530079245
2024-07-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0135302074753567,-0.010857933530079245
2024-08-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0135302074753567,-0.010857933530079245
2024-09-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0135302074753567,-0.010857933530079245
2024-10-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0135302074753567,-0.010857933530079245
2024-11-29,bull,True,-0.0020700733935330165,0.000125,0.025,-0.0021950733935330166,3,"DUOL,GTLS,SAIA",1.0113054342833856,-0.013029172962611524
2024-12-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0111790211041,-0.013152544315991332
2025-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0111790211041,-0.013152544315991332
2025-02-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0111790211041,-0.013152544315991332
2025-03-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0111790211041,-0.013152544315991332
2025-04-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0111790211041,-0.013152544315991332
2025-05-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0111790211041,-0.013152544315991332
2025-06-30,bull,True,0.003915367773186171,0.000125,0.025,0.0037903677731861707,3,"NVDA,AMAT,CEG",1.015011761478615,-0.009412029522915977
2025-07-31,bull,True,-0.001975790599162563,0.00025,0.05,-0.0022257905991625634,3,"FSLR,SMCI,AMD",1.0127525578418763,-0.011616870915247435
2025-08-29,bull,True,0.0030929048978294675,0.00025,0.05,0.0028429048978294673,3,"MEDP,TER,HUM",1.0156317170488545,-0.00880699167664023
2025-09-30,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0155047630842233,-0.008930890802680724
2025-10-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0155047630842233,-0.008930890802680724
2025-11-28,bull,True,9.637848584165666e-05,0.000125,0.025,-2.8621514158343338e-05,3,"UTHR,ROIV,INTC",1.0154756978002688,-0.008959256701221552
2025-12-31,neutral,False,0.0,0.000125,0.025,-0.000125,0,,1.0153487633380438,-0.009083136794133861
2026-01-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0153487633380438,-0.009083136794133861
2026-02-27,neutral,False,0.0,0.0,0.0,0.0,0,,1.0153487633380438,-0.009083136794133861
2026-03-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0153487633380438,-0.009083136794133861
