rebalance_date,ticker,weight,target_weight,sector,industry_group,primary_lane,holding_state,hold_replace_decision,crisis_state,market_style_regime_label,regime_state,regime_capacity_regime,selection_confirmation_score,breakout_setup_quality_score,volatility_contraction_score,rs_benchmark_1m,ticker_ret_1m,rs_benchmark_3m,ticker_ret_3m,atr14_pct,price_above_ma50,price_above_ma200,spy_1m_return,qqq_1m_return,benchmark_risk_score,linked_mdd_position_pnl_usd
2022-12-30,ORLY,0.0162565498131239,0.0162565498131239,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,0.4408666666666666,0.5766470564296331,0.2638387717829118,0.0501589166095139,-0.0237236490309176,0.1628505107436195,0.2000142044391395,0.0169247563454319,1.0,1.0,-0.0576282426213732,-0.0901368886594898,4.0,-15135.35366821289
2022-12-30,MA,0.02,0.02,Financials,Consumer Finance,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.4270387497628068,0.3096784923544921,0.049556051628578,-0.0243265140118534,0.1877467365663083,0.2249104302618283,0.0332684205575715,1.0,1.0,-0.0576282426213732,-0.0901368886594898,4.0,-12456.719299316403
2022-12-30,JBL,0.02,0.02,Information Technology,Tech Hardware & Storage,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,bear,bear,1.0,0.4735744974101771,0.1552322966023813,0.0186117087861997,-0.0552708568542318,0.1460388826391926,0.1832025763347127,0.0286879111560583,1.0,1.0,-0.0576282426213732,-0.0901368886594898,4.0,-692.3738174438477
2023-01-31,MA,0.038,0.038,Financials,Consumer Finance,QUALITY_COMPOUNDER,HOLD,keep_prior_holding,DEFENSE_REVIEW,breakout_growth,neutral,neutral,1.0,0.4031056835265311,0.1909595860404646,-0.0171593233490194,0.067499070555105,0.0711761585498665,0.1310911594512087,0.0293762535424639,1.0,1.0,0.0628873915428864,0.1064293962653626,0.0,-12456.719299316403
2023-01-31,JBL,0.0397273747042818,0.0397273747042818,Information Technology,Tech Hardware & Storage,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,breakout_growth,neutral,neutral,1.0,0.5356060095863447,-0.0110024267833974,0.0682742221481631,0.1529326160522877,0.1653807694513526,0.2252957703526947,0.0272432775442835,1.0,1.0,0.0628873915428864,0.1064293962653626,0.0,-692.3738174438477
2023-02-28,MLI,0.1075830064694349,0.1075830064694349,Industrials,Other,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,quality_compounder,neutral,neutral,1.0,0.5348425055192718,-0.2152745129638025,0.142728251122006,0.1265612538981169,0.0722965376880987,0.095468739446515,0.0553069208112248,1.0,1.0,-0.0232202977264641,-0.009113696721314,0.0,-11918.317245483398
2023-02-28,JBL,0.285,0.285,Information Technology,Tech Hardware & Storage,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,quality_compounder,neutral,neutral,1.0,0.7296382235813573,0.3893165962537508,0.0927105200584043,0.0765435228345152,0.179739550166145,0.2029117519245613,0.0216065678625338,1.0,1.0,-0.0232202977264641,-0.009113696721314,0.0,-692.3738174438477
2023-03-31,BLD,0.2,0.2,Consumer Discretionary,Construction & Engineering,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,breakout_growth,bull,bull,1.0,0.5301838526659225,0.0815477583581922,-0.0633530155126959,0.0026494679968227,0.1892113894184045,0.3300529879445917,0.0303178497576379,1.0,1.0,0.0370776963898646,0.0949272706291726,0.0,-23063.669662475586
2023-03-31,MLI,0.0391511207092261,0.0391511207092261,Industrials,Other,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,breakout_growth,bull,bull,1.0,0.5094186697276514,0.1824600292145805,-0.0684145210214638,-0.0024120375119451,0.1098631378246438,0.250704736350831,0.0589957764206964,1.0,1.0,0.0370776963898646,0.0949272706291726,0.0,-11918.317245483398
2023-03-31,JBL,0.04,0.04,Information Technology,Tech Hardware & Storage,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,breakout_growth,bull,bull,1.0,0.6431137300102057,-0.0326634736760587,-0.0042177161104078,0.0617847673991107,0.1530593243787333,0.2939009229049205,0.030294985787813,1.0,1.0,0.0370776963898646,0.0949272706291726,0.0,-692.3738174438477
2023-04-28,BLD,0.076,0.076,Consumer Discretionary,Construction & Engineering,MARKET_LEADER,HOLD,keep_prior_holding,DEFENSE_REVIEW,balanced,neutral,neutral,1.0,0.469047619047619,-0.0714735455390711,0.1019878411158371,0.1528196735481917,0.0824302819137644,0.1422492537957205,0.0278865406014201,1.0,1.0,0.0513902612193946,0.0502734036453145,0.0,-23063.669662475586
2023-04-28,MSI,0.1139999999999999,0.1139999999999999,Information Technology,Communication Equipment,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,balanced,neutral,neutral,1.0,0.6146719986048329,0.2748631460031389,0.017037030401764,0.0678688628341186,0.0894941240656702,0.1493130959476263,0.0431654817379244,1.0,1.0,0.0513902612193946,0.0502734036453145,0.0,-878.7612304687536
2023-04-28,TXRH,0.1139999999999999,0.1139999999999999,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,balanced,neutral,neutral,1.0,0.6152845497757695,0.3290699211615603,-0.0095062109577722,0.0413256214745823,0.0639004532756383,0.1237194251575943,0.0653490761333303,1.0,1.0,0.0513902612193946,0.0502734036453145,0.0,-792.4380187988318
2023-04-28,CHE,0.0640028062972656,0.0640028062972656,Health Care,Diagnostics & Research,QUALITY_COMPOUNDER,NEW,new_entry,DEFENSE_REVIEW,balanced,neutral,neutral,1.0,0.6173107528198482,0.1098747858412563,-0.0087515669283931,0.0420802655039613,0.0458452071725662,0.1056641790545223,0.0217729478533226,1.0,1.0,0.0513902612193946,0.0502734036453145,0.0,-390.14959716796875
2023-06-30,XPO,0.2,0.2,Industrials,Transportation & Logistics,MARKET_LEADER,NEW,new_entry,WATCH,quality_compounder,bull,bull,1.0,0.7550481542790399,0.2423379811346453,0.1588012413534665,0.216745678649882,0.7625677746667575,0.8995492921593293,0.0335351098824932,1.0,1.0,0.0588951213370074,0.0569937532558235,0.0,-11219.850521087646
2023-06-30,DAL,0.096175774572518,0.096175774572518,Industrials,Transportation & Logistics,MARKET_LEADER,NEW,new_entry,WATCH,quality_compounder,bull,bull,1.0,0.6026535978304912,0.1202641769829588,0.2524199046244642,0.3103643419208797,0.2567451752340911,0.3937266927266629,0.0484925823959853,1.0,1.0,0.0588951213370074,0.0569937532558235,0.0,-573.8582229614258
2023-07-31,XPO,0.1291106575455016,0.1291106575455016,Industrials,Transportation & Logistics,MARKET_LEADER,HOLD,keep_prior_holding,GREEN,quality_compounder,bull,bull,1.0,0.5079949050791333,-0.165029110531957,0.1378921560307012,0.1735592858266021,0.4193019137480464,0.5672249295040841,0.0422031002877078,1.0,1.0,0.0327333320565725,0.0386009275352292,0.0,-11219.850521087646
2023-07-31,ON,0.12,0.12,Information Technology,Semiconductors,MARKET_LEADER,NEW,new_entry,GREEN,quality_compounder,bull,bull,1.0,0.6474014272672214,-0.0134183425467084,0.1035800462875852,0.1392471760834861,0.3494366475412623,0.4973596632973001,0.0344050391288557,1.0,1.0,0.0327333320565725,0.0386009275352292,0.0,-3774.5394897460938
2023-07-31,ONTO,0.12,0.12,Information Technology,Semiconductors,MARKET_LEADER,NEW,new_entry,GREEN,quality_compounder,bull,bull,1.0,0.5873274080543446,-0.220259061549906,0.031732186696299,0.0673993164921999,0.3872707918665919,0.5351938076226297,0.036357803279677,1.0,1.0,0.0327333320565725,0.0386009275352292,0.0,-2461.3494415283203
