date,leader_basket_level,available_tickers,target_tickers,available_weight
2021-08-10,281.3330755790303,2,2,1.0
2021-08-11,281.13891071410046,2,2,1.0
2021-08-12,279.70752920099983,2,2,1.0
2021-08-13,279.8622851548378,2,2,1.0
2021-08-16,282.07619363443973,2,2,1.0
2021-08-17,278.9927314257042,2,2,1.0
2021-08-18,274.3713421872037,2,2,1.0
2021-08-19,276.3019872165271,2,2,1.0
2021-08-20,278.94606144368674,2,2,1.0
2021-08-23,280.06575493015544,2,2,1.0
2021-08-24,279.9163886415615,2,2,1.0
2021-08-25,281.4312789564062,2,2,1.0
2021-08-26,280.54581841582643,2,2,1.0
2021-08-27,284.110609523071,2,2,1.0
2021-08-30,284.98419249207706,2,2,1.0
2021-08-31,284.87144454190354,2,2,1.0
2021-09-01,284.5569634629683,2,2,1.0
2021-09-02,286.48428558319995,2,2,1.0
2021-09-03,285.07915453137855,2,2,1.0
2021-09-07,281.73512593105147,2,2,1.0
2021-09-08,283.30227879945136,2,2,1.0
2021-09-09,282.4611380126935,2,2,1.0
2021-09-10,282.75696466148986,2,2,1.0
2021-09-13,279.18300403421966,2,2,1.0
2021-09-14,278.5364042152482,2,2,1.0
2021-09-15,280.49807140705525,2,2,1.0
2021-09-16,279.90263246420585,2,2,1.0
2021-09-17,279.14226934017205,2,2,1.0
2021-09-20,273.7451235362606,2,2,1.0
2021-09-21,272.7090140648497,2,2,1.0
2021-09-22,274.6998057722517,2,2,1.0
2021-09-23,278.4862132537229,2,2,1.0
2021-09-24,277.70762069507174,2,2,1.0
2021-09-27,274.5042888237308,2,2,1.0
2021-09-28,262.85092921110663,2,2,1.0
2021-09-29,264.04727505054575,2,2,1.0
2021-09-30,262.18809180653324,2,2,1.0
2021-10-01,257.4155716374583,2,2,1.0
2021-10-04,252.12745796641374,2,2,1.0
2021-10-05,252.93602506408777,2,2,1.0
2021-10-06,252.89530062670002,2,2,1.0
2021-10-07,254.6625521722576,2,2,1.0
2021-10-08,248.07146645680513,2,2,1.0
2021-10-11,244.61420106765144,2,2,1.0
2021-10-12,244.07473229325598,2,2,1.0
2021-10-13,245.7227253489024,2,2,1.0
2021-10-14,255.8448607561072,2,2,1.0
