fill_date,gross_value,portfolio,price_return,reason,relative_return,signal_date,ticker
2024-05-29,680.1509399414062,main,-0.0806412902401659,daily_hard_stop_exit,-0.1317619298631235,2024-05-28,EXP
2024-06-10,6953.91748046875,main,-0.0425560248346928,weekly_relative_trim,-0.0638025410239172,2024-06-07,CHRD
2024-06-17,3222.0516357421875,main,-0.0578149653503863,weekly_relative_trim,-0.0838180977910583,2024-06-14,DECK
2024-06-17,2954.5,main,-0.0414711059777589,weekly_relative_trim,-0.0679253085630721,2024-06-14,SFM
2024-06-21,3103.776809692383,main,-0.0893914195548085,daily_hard_stop_exit,-0.1213541853915507,2024-06-20,DECK
2024-06-24,2351.519989013672,main,-0.0507847097445093,weekly_relative_trim,-0.0828729903239712,2024-06-21,FSLR
2024-06-27,2499.199981689453,main,-0.0908991215677655,daily_hard_stop_exit,-0.1232417777807958,2024-06-26,FSLR
2024-07-03,7307.121215820312,main,-0.0939842903713867,daily_hard_stop_exit,-0.1317875325746498,2024-07-02,DKS
2024-07-08,9938.169719696043,main,0.0116619708588754,weekly_relative_trim,-0.0902975790772627,2024-07-05,CMG
2024-07-08,8466.335472106934,main,-0.0114859867406904,weekly_relative_trim,-0.0623469248567621,2024-07-05,NRG
2024-07-08,9207.770263671877,main,0.0399749382041969,weekly_relative_trim,-0.0648381117062802,2024-07-05,TT
2024-07-11,6644.820190429688,main,-0.1046498786880579,daily_hard_stop_exit,-0.1301393046713544,2024-07-10,CAVA
2024-07-15,9510.480102539062,main,-0.0702383425175625,weekly_relative_exit,-0.1719312016441426,2024-07-12,CMG
2024-07-18,1967.8869094848635,main,-0.0876366227056552,daily_hard_stop_exit,-0.1066395649830881,2024-07-17,LRCX
2024-07-25,9244.404052734377,main,0.2613938244133065,daily_trailing_stop_exit,0.0946176103231533,2024-07-24,AVGO
2024-07-25,13130.428367614746,main,0.3708161080268635,daily_trailing_stop_exit,0.2907482028520027,2024-07-24,NVDA
2024-07-26,9002.77384185791,main,-0.0896164344539038,daily_hard_stop_exit,-0.1383012774229537,2024-07-25,VRT
2024-08-05,57.55262756347656,main,-0.0058115344107095,weekly_relative_trim,-0.0930916938917852,2024-08-02,APH
2024-08-05,537.9298095703125,main,-0.0983200940525483,daily_hard_stop_exit,-0.1098212119823374,2024-08-02,NRG
2024-08-05,111.7123031616211,main,-0.0822546599275446,daily_hard_stop_exit,-0.0608308894453497,2024-08-02,NTAP
2024-08-06,4013.655853271485,main,-0.0881331205777806,daily_hard_stop_exit,-0.0429607983846586,2024-08-05,CW
2024-08-06,360.5756530761719,main,-0.090962706574988,daily_hard_stop_exit,-0.0418369593848205,2024-08-05,FANG
2024-08-06,8648.580116271973,main,-0.0802124763454068,daily_hard_stop_exit,-0.0346477790136366,2024-08-05,NVDA
2024-08-06,3827.6023864746094,main,-0.0813598554799615,daily_hard_stop_exit,-0.0358519973438167,2024-08-05,TPL
2024-08-07,2924.0,main,-0.1284365016951928,daily_hard_stop_exit,-0.0936173225514468,2024-08-06,BLD
2024-08-13,2805.539978027344,main,-0.0815967201417162,daily_hard_stop_exit,-0.064822317265811,2024-08-12,VRTX
2024-08-19,2187.795166015625,main,-0.0489166868494039,weekly_relative_trim,-0.0683049139019739,2024-08-16,WSM
2024-08-23,2310.290557861328,main,-0.0996273947884984,daily_hard_stop_exit,-0.1210107667535327,2024-08-22,WSM
2024-09-09,6783.525726318359,main,-0.0715005442640097,weekly_relative_trim,-0.0669470333588728,2024-09-06,AVGO
2024-09-16,2254.500045776367,main,-0.0452664653335619,weekly_relative_trim,-0.0621353757232104,2024-09-13,GDDY
2024-09-23,5794.469879150391,main,-0.0286748131080925,weekly_relative_trim,-0.0706860637786102,2024-09-20,HALO
2024-09-26,5695.000076293945,main,-0.0839308640011476,daily_hard_stop_exit,-0.126304364818324,2024-09-25,HALO
2024-10-14,5831.350021362305,main,0.1512566224416491,daily_trailing_stop_exit,0.09327827986443,2024-10-11,TLN
2024-10-16,5478.200065612793,main,-0.1196786099205388,daily_hard_stop_exit,-0.1366236920894823,2024-10-15,PDD
2024-10-21,551.317626953125,main,-0.0019907224507911,weekly_relative_trim,-0.0758104993896034,2024-10-18,UNH
2024-11-05,15992.340866088867,main,-0.1358607312757649,daily_hard_stop_exit,-0.1376655344082401,2024-11-04,CEG
2024-11-05,1119.51806640625,main,-0.0976524579095093,daily_hard_stop_exit,-0.0995370611551766,2024-11-04,PEG
2024-11-11,4299.000091552734,main,-0.0125464752938647,weekly_relative_trim,-0.0914486085888076,2024-11-08,UBER
2024-11-11,5305.505859375,main,0.0383377816530894,weekly_relative_trim,-0.0603256605962856,2024-11-08,WMT
2024-11-15,4707.900085449219,main,-0.1119867312966219,daily_hard_stop_exit,-0.1453761971225576,2024-11-14,CACI
