priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
85,holding_history,production_main,INTU,study_premature_exit_or_fast_capture,short_big_win_review,2023-10-31,2023-12-29,closed,3.0,0.28371032047543765,0.28371032047543765,0.0969588209071413,historical_short_big_win_review
85,holding_history,production_main,FLEX,study_premature_exit_or_fast_capture,short_big_win_review,2023-10-31,2023-12-29,closed,3.0,0.286129530446974,0.286129530446974,0.0567806104068017,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,PTC,study_premature_exit_or_fast_capture,short_big_win_review,2020-11-30,2021-01-29,closed,3.0,0.28899974033139664,0.28899974033139664,0.2848085665932428,historical_short_big_win_review
85,holding_history,production_main,LNG,study_premature_exit_or_fast_capture,short_big_win_review,2022-06-30,2022-08-31,closed,3.0,0.2981201771063795,0.2981201771063795,0.0318052603875113,historical_short_big_win_review
85,holding_history,production_main,FTNT,study_premature_exit_or_fast_capture,short_big_win_review,2020-04-30,2020-05-29,closed,2.0,0.2994131075329165,0.2994131075329165,0.0545638942387843,historical_short_big_win_review
85,holding_history,main_v2_research,APH,study_premature_exit_or_fast_capture,short_big_win_review,2025-08-29,2025-09-30,closed,2.0,0.3022043039134996,0.3022043039134996,0.1439471120011595,historical_short_big_win_review
85,holding_history,production_main,LEA,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-11-30,closed,2.0,0.30559851310856634,0.30559851310856634,0.0272061433912255,historical_short_big_win_review
85,holding_history,production_main,PLTR,study_premature_exit_or_fast_capture,short_big_win_review,2024-11-29,2025-01-31,closed,3.0,0.31301897755256625,0.31301897755256625,0.0938917047818972,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,VEEV,study_premature_exit_or_fast_capture,short_big_win_review,2020-05-29,2020-07-31,closed,3.0,0.3181650580197375,0.3181650580197375,0.3226026245516366,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,FTNT,study_premature_exit_or_fast_capture,short_big_win_review,2020-04-30,2020-04-30,closed,1.0,0.32345700255038334,0.32345700255038334,0.5000000000000001,historical_short_big_win_review
85,holding_history,main_v2_research,RVMD,study_premature_exit_or_fast_capture,short_big_win_review,2025-11-28,2026-01-30,closed,3.0,0.32455876795505767,0.32455876795505767,0.15,historical_short_big_win_review
85,holding_history,production_main,XPO,study_premature_exit_or_fast_capture,short_big_win_review,2020-10-30,2020-11-30,closed,2.0,0.32577780261523737,0.32577780261523737,0.0272061433912255,historical_short_big_win_review
85,holding_history,production_main,CNQ,study_premature_exit_or_fast_capture,short_big_win_review,2026-01-30,2026-02-27,open,2.0,0.33352063365164164,0.33352063365164164,0.0414028498338467,historical_short_big_win_review
85,holding_history,monster_lifecycle_concentrated,TRGP,study_premature_exit_or_fast_capture,short_big_win_review,2026-01-30,2026-03-31,open,3.0,0.3367451031577722,0.3367451031577722,0.32,historical_short_big_win_review
85,holding_history,monster_lifecycle_main,TRGP,study_premature_exit_or_fast_capture,short_big_win_review,2026-01-30,2026-03-31,open,3.0,0.3367451031577722,0.3367451031577722,0.1607142857142857,historical_short_big_win_review
85,holding_history,main_v2_research,PDD,study_premature_exit_or_fast_capture,short_big_win_review,2020-11-30,2020-12-31,closed,2.0,0.3411351446292703,0.3411351446292703,0.0432466467989939,historical_short_big_win_review
85,holding_history,production_main,MEDP,study_premature_exit_or_fast_capture,short_big_win_review,2022-09-30,2022-11-30,closed,3.0,0.3455860089885574,0.3455860089885574,0.04,historical_short_big_win_review
85,holding_history,concentrated_grid_presence,BKNG,study_premature_exit_or_fast_capture,short_big_win_review,2024-08-30,2024-10-31,closed,3.0,0.3463545155335146,0.3463545155335146,1.0,historical_short_big_win_review
