rebalance_date,ticker,weight,stage,monster_onset_score,cum_return,peak_return,months_held,bad_months,period_forward_return,risk_adjusted_forward_return,weighted_forward_return,risk_exit_proxy,risk_exit_reason,hard_stop_proxy,sector,industry_group,theme_horizon_primary,theme_holding_profile_primary,theme_event_risk_sensitivity_max,theme_structural_growth_max,technical_leadership_signal,leadership_signal,growth_signal,rs_acceleration_score,revenue_growth_final,revision_score,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,distribution_risk_score,explosion_exit_score,stage2_overext_penalty
2020-12-31,AMAT,0.05,scout,1.159582390089224,0.19578171590867832,0.19578171590867832,1,0,0.1957817159086783,0.1957817159086783,0.009789085795433916,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.0,1.0,0.8416217861891827,nan,1.0,0.5026827015663781,0.1083333333333333,neutral,0.0461299446190852,0.0,0.0
2021-01-29,MELI,0.26168224299065423,winner,0.30098515216866084,0.6019484468768148,0.7714747267385125,7,1,-0.0956978258300162,-0.0956978258300162,-0.025042421712527605,False,none,,Internet,Internet Content & Information,unknown,neutral,0.35,0.35,0.5462309074365815,1.898311794488676,0.1935002694740352,-3.0,nan,0.0,0.5462309074365815,0.2416666666666667,neutral,0.620677260116638,0.0,0.0
2021-01-29,PWR,0.11214953271028037,confirm,-0.3364059554842631,0.4160481174109716,0.4160481174109716,4,1,0.1767751247042688,0.1767751247042688,0.019825247630385283,False,none,,Industrials,Construction & Engineering,structural_growth,long_duration,0.35,1.0,0.7487321871760104,1.061331249410928,0.1576796694501027,-2.0676777641589488,nan,0.0,0.3347285896504869,0.2552083333333333,neutral,0.620677260116638,0.0,0.0
2021-01-29,ROKU,0.13084112149532712,winner,0.34403291647186274,0.44259415703813443,0.4437627265939321,3,1,-0.0008093916917737,-0.0008093916917737,-0.00010590171668067104,False,none,,Communication,Other,unknown,neutral,0.35,0.35,0.580010915850212,0.580010915850212,0.2359911247649404,-2.062048303536606,nan,0.0,0.5126078693029378,0.2416666666666667,neutral,0.7215788456150224,0.0,0.0
2021-01-29,LRCX,0.11214953271028037,confirm,0.490739489632568,0.3287920373537747,0.3287920373537747,3,0,0.1623053226599933,0.1623053226599933,0.01820246609270953,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.0,0.7765600565944519,0.2539987289947329,nan,0.1062559074876801,0.4221826127400485,0.121875,neutral,0.620677260116638,0.0,0.0
2021-01-29,MU,0.11214953271028037,confirm,1.025802650110552,0.21785765793207612,0.21785765793207612,2,0,0.1379569517146248,0.1379569517146248,0.015471807668929884,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.8047470772571375,0.9758735597392904,0.4077622524622529,1.609494154514275,nan,0.0,0.4881612449083009,0.1083333333333333,neutral,0.620677260116638,0.0,0.0
2021-01-29,HPQ,0.11214953271028037,confirm,1.0413354692721781,0.23096185161312288,0.23096185161312288,2,0,0.2230394234604094,0.2230394234604094,0.025013767117055257,False,none,,Information Technology,Tech Hardware & Storage,unknown,neutral,0.35,0.35,1.12,2.9853134347356987,0.1834141303795117,1.497320419455352,nan,0.0441208777772106,0.5652107179177185,0.1083333333333333,neutral,0.620677260116638,0.0,0.0
2021-01-29,AMAT,0.11214953271028037,confirm,1.3146731647408867,0.42776324401118115,0.42776324401118115,2,0,0.1939998956466895,0.1939998956466895,0.021756997642619385,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.0,1.0,1.7198657777171302,nan,1.0,0.5221147961308922,0.1083333333333333,neutral,0.620677260116638,0.0,0.0
2021-01-29,KLAC,0.04672897196261683,scout,0.9122506488832858,0.08851931474252606,0.08851931474252606,1,0,0.088519314742526,0.088519314742526,0.0041364165767535516,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.5954076612116689,0.9758735597392904,1.0,0.3052485968175511,nan,1.0,0.4392646774616102,0.1083333333333333,neutral,0.620677260116638,0.0,0.0
2021-02-26,PWR,0.1806451612903226,winner,0.34576938819839675,0.3930751364734486,0.4160481174109716,5,2,-0.0162233053065496,-0.0162233053065496,-0.0029306616037637987,False,none,,Industrials,Construction & Engineering,structural_growth,long_duration,0.35,1.0,0.99,1.05317869756352,0.3335376212461194,-1.560280083214021,nan,0.0,0.4638999521665636,0.2416666666666667,neutral,0.6595936467340549,0.0,0.0
2021-02-26,LRCX,0.1806451612903226,winner,0.9468925964837325,0.30531126667432296,0.3287920373537747,4,0,-0.0176707641371878,-0.0176707641371878,-0.0031921380376855385,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.5414211589122897,0.535999945471495,-0.6038283164700031,nan,0.1062559074876801,0.5654629144322658,0.2416666666666667,neutral,0.6595936467340549,0.0,0.0
2021-02-26,MU,0.1806451612903226,winner,1.1503003120259903,0.11119529441172538,0.21785765793207612,3,0,-0.0875819623300342,-0.0875819623300342,-0.015821257711231985,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.98,1.5414211589122897,0.4733199112847067,1.1263762904000356,nan,0.0,0.5719111642941925,0.1083333333333333,neutral,0.6595936467340549,0.0,0.0
2021-02-26,HPQ,0.1806451612903226,winner,0.9408326571813594,0.3076899671847826,0.3076899671847826,3,0,0.0623318386927351,0.0623318386927351,0.011259945054171503,False,none,,Information Technology,Tech Hardware & Storage,unknown,neutral,0.35,0.35,1.0,1.5595596523080848,0.2580934700655429,1.7399763219595483,nan,0.0441208777772106,0.5504775023896874,0.1083333333333333,neutral,0.6595936467340549,0.0,0.0
2021-02-26,AMAT,0.1806451612903226,winner,1.2299987209362242,0.4714751272671869,0.4714751272671869,3,0,0.0306156384396063,0.0306156384396063,0.00553056694392888,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.5414211589122897,1.0,0.2715449188471011,nan,1.0,0.5810871999403938,0.1083333333333333,promote_monster_early,0.6595936467340549,0.0,0.0
2021-02-26,KLAC,0.03225806451612903,scout,0.654654046491182,0.07746259871076933,0.08851931474252606,2,0,-0.0101575744977682,-0.0101575744977682,-0.00032766369347639356,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.72,1.5414211589122897,0.6414530120347073,-1.1314397909876115,nan,0.6414530120347073,0.461483258534106,0.2416666666666667,neutral,0.6595936467340549,0.0,0.0
2021-02-26,INTC,0.03225806451612903,scout,1.1434207648715689,0.03321432647194178,0.03321432647194178,1,0,0.0332143264719417,0.0332143264719417,0.0010714298861916678,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.5414211589122897,0.2432679022472095,2.1698239730603017,nan,0.2432679022472095,0.4793638284602271,0.0135416666666666,neutral,0.6595936467340549,0.0,0.0
2021-02-26,FTNT,0.03225806451612903,scout,1.1214559284932788,0.05970498649753675,0.05970498649753675,1,0,0.0597049864975367,0.0597049864975367,0.0019259673063721516,False,none,,Information Technology,Software - Infrastructure,unknown,neutral,0.35,0.35,0.95,0.95,1.0,1.5436680136822214,nan,1.0,0.4474268018639746,0.121875,neutral,0.6595936467340549,0.0,0.0
2021-03-31,PWR,0.10606060606060606,winner,0.8441016147794426,0.5324745409766825,0.5324745409766825,6,0,0.1000659625984867,0.1000659625984867,0.010613056639233438,False,none,,Industrials,Construction & Engineering,structural_growth,long_duration,0.35,1.0,0.8800000000000001,1.020916762407011,0.9591690304083134,-0.988124203749702,nan,0.9591690304083134,0.5636777052423441,0.2416666666666667,neutral,0.1093597417330483,0.0,0.0
2021-03-31,LRCX,0.1893939393939394,monster,1.1045436207856354,0.3438364490150829,0.3438364490150829,5,0,0.0295141728446997,0.0295141728446997,0.005589805463011307,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.2253508639663735,0.4569544406965707,-0.3315780202133815,nan,0.1062559074876801,0.5599212912976061,0.2416666666666667,neutral,0.1422597060814179,0.0,0.0
2021-03-31,MU,0.1893939393939394,monster,0.9297343228420483,0.039146710624558656,0.21785765793207612,4,0,-0.0648388128977001,-0.0648388128977001,-0.01228007820032199,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.7,1.2253508639663735,0.0094696110582334,0.4679105515330669,nan,0.0,0.4837871841381806,0.1083333333333333,neutral,0.0242499517704106,0.0,0.0
2021-03-31,HPQ,0.1893939393939394,monster,1.0131600805170027,0.3994072887307818,0.3994072887307818,4,0,0.0701369008308978,0.0701369008308978,0.013283503945245795,False,none,,Information Technology,Tech Hardware & Storage,unknown,neutral,0.35,0.35,1.0,1.1081883542385167,0.2158882703562529,1.4307311773578952,nan,0.0441208777772106,0.5309079945823549,0.1083333333333333,neutral,0.2045563872243435,0.0,0.0
2021-03-31,AMAT,0.1893939393939394,monster,1.5443536100552588,0.43003876146321907,0.4714751272671869,4,0,-0.0281597459828785,-0.0281597459828785,-0.005333285224030019,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.2253508639663735,1.0,0.8619802307772235,nan,1.0,0.5971078076594202,0.1083333333333333,promote_monster_early,0.5009198929086368,0.0,0.0
2021-03-31,KLAC,0.045454545454545456,confirm,1.0876130213341695,0.01550056859576121,0.08851931474252606,3,0,-0.0575073605238348,-0.0575073605238348,-0.002613970932901582,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.8,1.2253508639663735,0.6414530120347073,0.3402101664352779,nan,0.6414530120347073,0.4571050936745625,0.1083333333333333,neutral,0.1691002339109213,0.0,0.0
2021-03-31,INTC,0.045454545454545456,confirm,1.2901210860942012,-0.07630135793415793,0.03321432647194178,2,0,-0.1059951276324794,-0.1059951276324794,-0.004817960346930882,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.2253508639663735,0.2432679022472095,2.60347472034695,nan,0.2432679022472095,0.4459077275298795,0.0135416666666666,neutral,0.0,0.0,0.0
2021-03-31,FTNT,0.045454545454545456,confirm,0.9897300853415912,0.1648981726178964,0.1648981726178964,2,0,0.0992664821442776,0.0992664821442776,0.004512112824739891,False,none,,Information Technology,Software - Infrastructure,unknown,neutral,0.35,0.35,0.6799999999999999,0.6799999999999999,1.0,0.9713428191827732,nan,1.0,0.462155401119964,0.1083333333333333,neutral,0.0433025989225979,0.0,0.0
2021-04-30,PWR,0.1,winner,0.8693775407940847,0.5124255292390774,0.5324745409766825,7,0,-0.013082769861108,-0.013082769861108,-0.0013082769861108001,False,none,,Industrials,Construction & Engineering,structural_growth,long_duration,0.35,1.0,0.99,1.3537880418127035,0.9591690304083134,-1.0726538660878684,nan,0.9591690304083134,0.5849942475642916,0.2416666666666667,promote_monster_early,0.1695863180447288,0.0,0.0
2021-04-30,LRCX,0.17857142857142858,monster,0.518544648631905,0.3831521020076105,0.3831521020076105,6,0,0.0292562781887204,0.0292562781887204,0.005224335390842928,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.5213199148263391,0.6022748273794365,0.0,-1.1948610612778938,nan,0.0,0.376751003913702,0.2416666666666667,neutral,0.1695863180447288,0.0,0.0
2021-04-30,MU,0.17857142857142858,monster,-0.05762807375210985,0.008320299139842335,0.21785765793207612,5,1,-0.0296651196308832,-0.0296651196308832,-0.005297342791229143,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,0.3609099309517746,0.6022748273794365,0.0,-0.9129568823780992,nan,0.0,0.326208231176577,0.26875,neutral,0.1695863180447288,0.0,0.0
2021-04-30,HPQ,0.17857142857142858,monster,0.6091414412206624,0.21556427858189364,0.3994072887307818,5,0,-0.1313720541756131,-0.1313720541756131,-0.02345929538850234,False,none,,Information Technology,Tech Hardware & Storage,unknown,neutral,0.35,0.35,0.99,0.99,0.2348931251496258,0.142072262867021,nan,0.0441208777772106,0.488396771079279,0.1083333333333333,neutral,0.1695863180447288,0.0,0.0
2021-04-30,AMAT,0.17857142857142858,monster,0.8620060661407478,0.47308731336896015,0.47308731336896015,5,0,0.0301030664803054,0.0301030664803054,0.005375547585768822,False,none,,Information Technology,Semiconductors,structural_growth,long_duration,0.15,1.0,1.0,1.0,1.0,-1.1381664450791356,nan,1.0,0.5054147374012312,0.2416666666666667,neutral,0.1695863180447288,0.0,0.0
