rebalance_date,next_rebalance_date,regime_label,core_target,future_target,early_target,cash_target_used,cash_weight,cash_weight_start,cash_weight_end,stock_weight_start,stock_weight_end,rebalance_action,due_sleeves,active_rebalance_interval_months,target_n,drawdown_before_month,drawdown_after_month,equity_after_month
2021-07-30,2021-08-31,balanced,0.25,0.35,0.4,0.0,0.06202352868282522,0.0,0.06202352868282522,1.0,0.9379764713171749,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.4201393436084673
2021-08-31,2021-09-30,balanced,0.25,0.35,0.4,0.0,0.56442212216576,0.0,0.56442212216576,1.0,0.43557787783424,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.05285351245621614,2.2922264786652784
2021-09-30,2021-10-29,risk_off_alert,0.18,0.36,0.18,0.28,0.2818947975066266,0.30381115675310505,0.2818947975066266,0.696188843246895,0.7181052024933734,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.05285351245621614,0.0,2.4641356480858736
2021-10-29,2021-11-30,growth_reentry_alert,0.25,0.35,0.4,0.0,0.2158849605649511,0.0,0.2158849605649511,1.0,0.7841150394350489,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.00504834929254687,2.4516958306301198
2021-11-30,2021-12-31,balanced,0.25,0.35,0.4,0.0,0.07559475621229853,0.0,0.07559475621229853,1.0,0.9244052437877016,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.00504834929254687,0.0,2.512490862587778
2021-12-31,2022-01-31,balanced,0.25,0.35,0.4,0.0,0.43765226939134233,0.0,0.43765226939134233,1.0,0.5623477306086576,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.07031916452697834,2.3358146042489385
2022-01-31,2022-02-28,balanced,0.25,0.35,0.4,0.0,0.04081972705876916,0.0,0.04081972705876916,1.0,0.9591802729412308,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.07031916452697834,-0.07780601115615894,2.317003970503526
2022-02-28,2022-03-31,balanced,0.25,0.35,0.4,0.0,0.2550190206196129,0.0,0.2550190206196129,1.0,0.7449809793803871,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.07780601115615894,-0.047348686525370484,2.393527720337252
2022-03-31,2022-04-29,growth_reentry_alert,0.25,0.35,0.4,0.0,0.6888496102630988,0.0,0.6888496102630988,1.0,0.31115038973690107,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.047348686525370484,-0.10496827419859113,2.2487590328022096
2022-04-29,2022-05-31,risk_off_alert,0.18,0.36,0.18,0.28,0.45880491931616785,0.2988423023276395,0.45880491931616785,0.7011576976723606,0.5411950806838323,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.10496827419859113,-0.108481556726967,2.239931942551976
2022-05-31,2022-06-30,balanced,0.25,0.35,0.4,0.0,0.48456979860730676,0.0,0.48456979860730676,1.0,0.5154302013926932,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.108481556726967,-0.15590590887706854,2.1207786911107007
2022-06-30,2022-07-29,balanced,0.25,0.5,0.25,0.0,0.11964840819905079,0.0,0.11964840819905079,1.0,0.8803515918009491,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.15590590887706854,-0.12559222290493344,2.1969415501270455
2022-07-29,2022-08-31,balanced,0.25,0.6,0.15,0.0,0.23041375538419673,0.0,0.23041375538419673,1.0,0.7695862446158033,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.12559222290493344,-0.1555487054929461,2.1216761613493937
2022-08-31,2022-09-30,balanced,0.25,0.6375,0.11249999999999999,0.0,0.1393689249371994,0.0,0.1393689249371994,1.0,0.8606310750628007,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.1555487054929461,-0.1883892469596481,2.03916460099187
2022-09-30,2022-10-31,balanced,0.25000000000000006,0.675,0.075,0.0,0.09052515057224567,0.0,0.09052515057224567,1.0,0.9094748494277544,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.1883892469596481,-0.11031594491641944,2.2353230589875377
2022-10-31,2022-11-30,balanced,0.25,0.35,0.4,0.0,0.06131129897861602,0.0,0.06131129897861602,1.0,0.9386887010213841,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.11031594491641944,-0.10411057779235987,2.25091398718574
2022-11-30,2022-12-30,balanced,0.25,0.35,0.4,0.0,0.40644484735612296,0.0,0.40644484735612296,1.0,0.593555152643877,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.10411057779235987,-0.1356424987329835,2.171690323942583
2022-12-30,2023-01-31,balanced,0.25,0.6,0.15000000000000002,0.0,0.06547183832803807,0.0,0.06547183832803807,1.0,0.934528161671962,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.1356424987329835,-0.1088575002029687,2.238987388003672
2023-01-31,2023-02-28,balanced,0.25,0.6375,0.11250000000000002,0.0,0.13527061540120205,0.0,0.13527061540120205,1.0,0.864729384598798,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.1088575002029687,-0.12316869612895846,2.2030306390069194
2023-02-28,2023-03-31,balanced,0.25,0.6375,0.11250000000000002,0.0,0.05599254097094733,0.0,0.05599254097094733,1.0,0.9440074590290526,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.12316869612895846,-0.09270627039721413,2.279567205310186
2023-03-31,2023-04-28,balanced,0.25,0.6375,0.11250000000000002,0.0,0.2241437454025323,0.0,0.2241437454025323,1.0,0.7758562545974677,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.09270627039721413,-0.10025296736012652,2.2606061981481496
2023-04-28,2023-05-31,balanced,0.25,0.7124999999999999,0.037500000000000006,0.0,0.1225554108339389,0.0,0.1225554108339389,1.0,0.877444589166061,circuit_breaker_rebalance,"core_compounder,early_scout,future_winner",1,18,-0.10025296736012652,-0.04297335166312471,2.404520709199406
2023-05-31,2023-06-30,balanced,0.25,0.35,0.4,0.0,0.10458990358505357,0.0,0.10458990358505357,1.0,0.8954100964149463,circuit_breaker_release,"core_compounder,early_scout,future_winner",1,18,-0.04297335166312471,0.0,2.61337281804547
2023-06-30,2023-07-31,balanced,0.25,0.35,0.4,0.0,0.2896931344491423,0.0,0.2896931344491423,1.0,0.7103068655508576,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.6725637910170756
2023-07-31,2023-08-31,balanced,0.25,0.35,0.4,0.0,0.11104989047718615,0.0,0.11104989047718615,0.9999999999999999,0.8889501095228138,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,2.7264044644111536
2023-08-31,2023-09-29,balanced,0.25,0.35,0.4,0.0,0.4854031705331111,0.0,0.4854031705331111,1.0,0.5145968294668889,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.06701588011884081,2.5436920696687033
2023-09-29,2023-10-31,systemic_alert,0.2,0.3,0.1,0.4,0.4429392869050555,0.4,0.4429392869050555,0.6,0.5570607130949444,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.06701588011884081,-0.07045974819240491,2.534302692378095
2023-10-31,2023-11-30,balanced,0.25,0.35,0.4,0.0,0.17227168459114178,0.0,0.17227168459114178,1.0,0.8277283154088584,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.07045974819240491,-0.006379883263550615,2.709010322198987
2023-11-30,2023-12-29,balanced,0.25,0.35,0.4,0.0,0.042778037315792994,0.0,0.042778037315792994,1.0,0.9572219626842071,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.006379883263550615,0.0,2.807092233870228
2023-12-29,2024-01-31,balanced,0.25,0.35,0.4,0.0,0.10690884388788263,0.0,0.10690884388788263,1.0,0.8930911561121174,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,2.968339015591371
2024-01-31,2024-02-29,balanced,0.25,0.35,0.4,0.0,0.054653741767551826,0.0,0.054653741767551826,1.0,0.9453462582324481,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,3.2560716525901063
2024-02-29,2024-03-28,balanced,0.25,0.35,0.4,0.0,0.12634871257535585,0.0045817346324054375,0.12634871257535585,0.9954182653675946,0.8736512874246443,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,3.4723418406569673
2024-03-28,2024-04-30,balanced,0.25,0.35,0.4,0.0,0.276634463617646,0.0,0.276634463617646,0.9999999999999999,0.723365536382354,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.04424943968993633,3.3186926597959743
2024-04-30,2024-05-31,balanced,0.25,0.35,0.4,0.0,0.1386237914902298,0.0,0.1386237914902298,1.0000000000000002,0.8613762085097703,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.04424943968993633,0.0,3.659327469633038
2024-05-31,2024-06-28,balanced,0.25,0.35,0.4,0.0,0.22482890144650736,0.0,0.22482890144650736,0.9999999999999999,0.7751710985534926,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,3.805909114856792
2024-06-28,2024-07-31,balanced,0.25,0.35,0.4,0.0,0.27954813704229703,0.0,0.27954813704229703,1.0,0.720451862957703,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.01927578366219895,3.7325472341208212
2024-07-31,2024-08-30,systemic_alert,0.2,0.3,0.1,0.4,0.43198412314946494,0.4,0.43198412314946494,0.6,0.5680158768505351,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.01927578366219895,-0.005508756130582425,3.784943289687885
2024-08-30,2024-09-30,balanced,0.25,0.35,0.4,0.0,0.22506542420838588,0.0,0.22506542420838588,1.0,0.7749345757916142,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.005508756130582425,0.0,3.981765673731645
2024-09-30,2024-10-31,balanced,0.25,0.35,0.4,0.0,0.08313074794808799,0.0,0.08313074794808799,1.0,0.916869252051912,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,4.219365229357404
2024-10-31,2024-11-29,balanced,0.25,0.35,0.4,0.0,0.07092140652130563,0.021088477713079035,0.07092140652130563,0.978911522286921,0.9290785934786944,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,4.621394899731272
2024-11-29,2024-12-31,growth_reentry_alert,0.25,0.35,0.4,0.0,0.330827950497565,0.039999999999999994,0.330827950497565,0.9600000000000001,0.669172049502435,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.03879718609399605,4.442097781792554
2024-12-31,2025-01-31,balanced,0.25,0.35,0.4,0.0,0.055431044011148664,0.016950847246272632,0.055431044011148664,0.9830491527537274,0.9445689559888513,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.03879718609399605,-0.008459176137538433,4.582301706273324
2025-01-31,2025-02-28,balanced,0.25,0.35,0.4,0.0,0.16847231930212986,0.0009256596587951879,0.16847231930212986,0.9990743403412049,0.8315276806978702,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.008459176137538433,0.0,4.665825027363446
2025-02-28,2025-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.8067052019238217,0.27249892303755124,0.8067052019238217,0.7275010769624488,0.19329479807617841,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.04190095886700441,4.47032248481125
2025-03-31,2025-04-30,risk_off_alert,0.18,0.36,0.18,0.28,0.36331454523847956,0.29990648804426057,0.36331454523847956,0.7000935119557394,0.6366854547615204,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.04190095886700441,-0.049653803849744556,4.434149066657512
2025-04-30,2025-05-30,balanced,0.25,0.35,0.4,0.0,0.2569532228366413,0.0,0.2569532228366413,1.0000000000000002,0.7430467771633588,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.049653803849744556,0.0,4.711835981944928
2025-05-30,2025-06-30,balanced,0.25,0.35,0.4,0.0,0.09132160859042322,0.0,0.09132160859042322,1.0,0.9086783914095767,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,4.924915259495233
2025-06-30,2025-07-31,balanced,0.25,0.35,0.4,0.0,0.2801099249916351,0.0,0.2801099249916351,0.9999999999999999,0.719890075008365,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,4.969196144260184
2025-07-31,2025-08-29,balanced,0.25,0.35,0.4,0.0,0.04706923357686303,0.0,0.04706923357686303,0.9999999999999999,0.952930766423137,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,-0.006189514397786111,4.938439233179863
2025-08-29,2025-09-30,balanced,0.25,0.35,0.4,0.0,0.10692506576992056,0.0,0.10692506576992056,1.0,0.8930749342300794,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,-0.006189514397786111,0.0,5.268346496711597
2025-09-30,2025-10-31,balanced,0.25,0.35,0.4,0.0,0.19046991781367079,0.0,0.19046991781367079,1.0,0.8095300821863293,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,5.814619157247376
2025-10-31,2025-11-28,balanced,0.25,0.35,0.4,0.0,0.5859836768052472,0.0,0.5859836768052472,1.0,0.4140163231947528,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.010119549490715437,5.7557778309159495
2025-11-28,2025-12-31,growth_reentry_alert,0.25,0.35,0.4,0.0,0.15991297233867888,0.03354468593510024,0.15991297233867888,0.9664553140648997,0.840087027661321,rebalance,"core_compounder,early_scout,future_winner",1,18,-0.010119549490715437,0.0,6.008473047880768
2025-12-31,2026-01-30,balanced,0.25,0.35,0.4,0.0,0.09144133400516924,0.0,0.09144133400516924,1.0,0.9085586659948307,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,0.0,6.737845686616499
2026-01-30,2026-02-27,balanced,0.25,0.35,0.4,0.0,0.363655433187659,0.0,0.363655433187659,1.0,0.636344566812341,rebalance,"core_compounder,early_scout,future_winner",1,18,0.0,0.0,6.809996478218864
2026-02-27,2026-03-31,risk_off_alert,0.18,0.36,0.18,0.28,0.718281588391998,0.28134691519093097,0.718281588391998,0.7186530848090691,0.2817184116080021,"partial_rebalance:core_compounder,early_scout","core_compounder,early_scout",1,18,0.0,-0.037265021188113014,6.556221815167063
