ticker,trade_count,win_rate,compound_realized_return,avg_realized_return,best_trade_return,worst_trade_return,avg_alpha_vs_benchmark,avg_holding_days,max_holding_days,dominant_exit_reason,churn_tag
VICI,3,0.3333333333333333,0.11371762482570746,0.03925321017633123,0.1456731550956522,-0.0271335811158502,0.05805052013397934,50.666666666666664,92.0,scheduled_rebalance,normal
MCK,5,0.6,0.11283999476846218,0.023667625444870898,0.0873483510820893,-0.0799999999999999,0.001717312892918682,60.2,181.0,scheduled_rebalance,profitable_reentry_churn
TTWO,1,1.0,0.11179059661781143,0.1117905966178114,0.1117905966178114,0.1117905966178114,0.0813710687061677,31.0,31.0,scheduled_rebalance,normal
UTHR,2,0.5,0.11112869043653584,0.05663119323712254,0.1297118889451518,-0.0164495024709067,-0.00810925508127805,0.0,0.0,single_period_hold,normal
TKO,1,1.0,0.10938315597271697,0.1093831559727169,0.1093831559727169,0.1093831559727169,0.0034132836997189,30.0,30.0,scheduled_rebalance,normal
TAL,1,1.0,0.10909920249834237,0.1090992024983423,0.1090992024983423,0.1090992024983423,0.0468410990652452,29.0,29.0,scheduled_rebalance,normal
WSC,1,1.0,0.10861060074738238,0.1086106007473823,0.1086106007473823,0.1086106007473823,0.0689985923633709,61.0,61.0,scheduled_rebalance,normal
WMB,1,1.0,0.10334846697236633,0.1033484669723663,0.1033484669723663,0.1033484669723663,0.2150300653895543,92.0,92.0,scheduled_rebalance,normal
CW,3,0.6666666666666666,0.1025778388170846,0.03619552357174217,0.12298931570571,-0.0690490509745677,0.0003614221463938694,91.0,273.0,single_period_hold,normal
IDXX,1,1.0,0.10167245646751,0.10167245646751,0.10167245646751,0.10167245646751,0.0647856110305318,95.0,95.0,scheduled_rebalance,normal
ELF,1,1.0,0.09597940158179341,0.0959794015817934,0.0959794015817934,0.0959794015817934,0.0404075255897347,0.0,0.0,single_period_hold,normal
CSCO,4,0.75,0.09111711417093815,0.0231034780192043,0.070132262061151,-0.0530005516556836,-0.02247066337094827,68.25,91.0,scheduled_rebalance,profitable_reentry_churn
ELV,2,1.0,0.08720501601724107,0.043217877983190045,0.0763618808571511,0.010073875109229,0.05706262843573659,62.0,124.0,scheduled_rebalance,normal
INTC,2,0.5,0.08667815177469995,0.04556924484200925,0.1264203053470491,-0.0352818156630306,0.013881566697134057,47.5,62.0,scheduled_rebalance,normal
DG,3,0.6666666666666666,0.08661242232334643,0.028722431937738768,0.0797014590405758,-0.0054549525803557,-0.009273735497200964,40.666666666666664,91.0,scheduled_rebalance,normal
PBA,1,1.0,0.08658534906933468,0.0865853490693346,0.0865853490693346,0.0865853490693346,0.1001768083236247,0.0,0.0,single_period_hold,normal
VTR,1,1.0,0.08563146091161022,0.0856314609116102,0.0856314609116102,0.0856314609116102,0.0755046816795073,63.0,63.0,scheduled_rebalance,normal
CHPT,1,1.0,0.08484162749481827,0.0848416274948182,0.0848416274948182,0.0848416274948182,0.0544220995831745,31.0,31.0,scheduled_rebalance,normal
WSM,4,0.25,0.08456366816812055,0.03192485473554395,0.3081903977295117,-0.0799999999999999,-0.02150035970839313,53.0,153.0,scheduled_rebalance,profitable_reentry_churn
VLO,1,1.0,0.08424862430096347,0.0842486243009634,0.0842486243009634,0.0842486243009634,0.1636757765710326,32.0,32.0,scheduled_rebalance,normal
AMGN,2,0.5,0.08360138523755789,0.04770949769725074,0.1664268356368616,-0.0710078402423601,-0.0765801184694392,15.0,30.0,single_period_hold,normal
CTAS,5,0.4,0.0814639710925742,0.019644599660002943,0.1436243175582148,-0.0930683156780258,-0.025843947758635855,24.6,62.0,scheduled_rebalance,profitable_reentry_churn
WEC,2,1.0,0.08042318748956734,0.0394466790275709,0.0445663520521726,0.0343270060029692,0.0737411012840946,106.5,122.0,scheduled_rebalance,normal
SYY,1,1.0,0.0802425208146933,0.0802425208146933,0.0802425208146933,0.0802425208146933,0.0938339800689833,0.0,0.0,single_period_hold,normal
SCI,1,1.0,0.07985455887539028,0.0798545588753902,0.0798545588753902,0.0798545588753902,0.0031814352494548,0.0,0.0,single_period_hold,normal
CAVA,1,1.0,0.07888158277324409,0.078881582773244,0.078881582773244,0.078881582773244,0.0753694303756089,0.0,0.0,single_period_hold,normal
BLD,2,1.0,0.07634660970490992,0.037527802027548754,0.048359712071794,0.0266958919833035,0.04691647330627515,59.5,91.0,scheduled_rebalance,normal
BIO,4,0.5,0.07602110857947797,0.021705087030906147,0.1550257853800463,-0.0674045394169616,0.0218444740934092,22.75,32.0,scheduled_rebalance,profitable_reentry_churn
BR,1,1.0,0.07409452771862957,0.0740945277186295,0.0740945277186295,0.0740945277186295,0.1142202828029349,59.0,59.0,scheduled_rebalance,normal
WU,1,1.0,0.07405386121179958,0.0740538612117995,0.0740538612117995,0.0740538612117995,0.0117957577787024,29.0,29.0,scheduled_rebalance,normal
AJG,2,1.0,0.07380506431791556,0.03661361510428835,0.0642310498451592,0.0089961803634175,-0.03624349542524695,121.5,181.0,scheduled_rebalance,normal
NUE,1,1.0,0.07238718182522286,0.0723871818252228,0.0723871818252228,0.0723871818252228,0.1199992628421611,60.0,60.0,scheduled_rebalance,normal
CMS,2,1.0,0.07231938105904745,0.03561630090385845,0.0490974595611759,0.022135142246541,-0.0138300730617102,0.0,0.0,single_period_hold,normal
PH,1,1.0,0.07230198185025127,0.0723019818502512,0.0723019818502512,0.0723019818502512,0.0858934411045413,0.0,0.0,single_period_hold,normal
CHTR,1,1.0,0.06661443840967474,0.0666144384096747,0.0666144384096747,0.0666144384096747,-0.0128779857524612,0.0,0.0,single_period_hold,normal
FRHC,1,1.0,0.06410757862609939,0.0641075786260993,0.0641075786260993,0.0641075786260993,0.009746858212118,29.0,29.0,scheduled_rebalance,normal
APO,1,1.0,0.06395520821307787,0.0639552082130778,0.0639552082130778,0.0639552082130778,0.0428478209766587,92.0,92.0,scheduled_rebalance,normal
TM,1,1.0,0.06364992026429661,0.0636499202642966,0.0636499202642966,0.0636499202642966,0.0364616017700007,0.0,0.0,single_period_hold,normal
DAL,1,1.0,0.06284543041217039,0.0628454304121703,0.0628454304121703,0.0628454304121703,0.0552878907031444,33.0,33.0,scheduled_rebalance,normal
FUTU,2,0.5,0.06214810820615857,0.0372544066337817,0.1545088132675633,-0.0799999999999999,0.0052747258708912,0.0,0.0,single_period_hold,normal
ABT,3,1.0,0.06161358649226223,0.020152253042839033,0.026295371579365,0.0107693262811014,-0.056612899589206234,60.666666666666664,91.0,scheduled_rebalance,normal
MTDR,1,1.0,0.061243212143253345,0.0612432121432533,0.0612432121432533,0.0612432121432533,0.005603283295483,0.0,0.0,single_period_hold,normal
PG,7,0.5714285714285714,0.05928812871032574,0.011418835368281444,0.1729186882240736,-0.0757944530245919,-0.03363065399697289,56.42857142857143,151.0,scheduled_rebalance,profitable_reentry_churn
CBOE,1,1.0,0.058411801917590545,0.0584118019175905,0.0584118019175905,0.0584118019175905,-0.059649935371375,62.0,62.0,scheduled_rebalance,normal
CME,1,1.0,0.05652224717564436,0.0565222471756443,0.0565222471756443,0.0565222471756443,-0.0437676480324749,60.0,60.0,scheduled_rebalance,normal
PDD,3,0.6666666666666666,0.05548118007640079,0.021370500389966133,0.1172373851868715,-0.0799999999999999,-0.028625762271127866,40.333333333333336,92.0,scheduled_rebalance,normal
MS,4,0.5,0.054502743091883854,0.017791268394795945,0.1498232077337375,-0.0797334245197431,0.032692171809137596,46.5,95.0,single_period_hold,profitable_reentry_churn
BSX,1,1.0,0.052366987404520726,0.0523669874045207,0.0523669874045207,0.0523669874045207,-0.000440785606345,0.0,0.0,single_period_hold,normal
ENPH,1,1.0,0.047475107587109155,0.0474751075871091,0.0474751075871091,0.0474751075871091,0.1189770390546118,124.0,124.0,scheduled_rebalance,normal
TRGP,1,1.0,0.047169022165389984,0.0471690221653899,0.0471690221653899,0.0471690221653899,0.0523579779633768,0.0,0.0,single_period_hold,normal
BIIB,1,1.0,0.04486694789730494,0.0448669478973049,0.0448669478973049,0.0448669478973049,0.0052549395132934,61.0,61.0,scheduled_rebalance,normal
C,1,1.0,0.04468085034269764,0.0446808503426976,0.0446808503426976,0.0446808503426976,0.084806605427003,59.0,59.0,scheduled_rebalance,normal
AEP,1,1.0,0.043901564700406626,0.0439015647004066,0.0439015647004066,0.0439015647004066,-0.0770713662385631,91.0,91.0,scheduled_rebalance,normal
SPG,1,1.0,0.04301245628325012,0.0430124562832501,0.0430124562832501,0.0430124562832501,0.0597227621064595,120.0,120.0,scheduled_rebalance,normal
SAM,2,0.5,0.04269264153013941,0.026680783440293093,0.1333615668805861,-0.0799999999999999,-0.09426279116473595,60.0,120.0,single_period_hold,normal
REGN,1,1.0,0.04201658636613237,0.0420165863661323,0.0420165863661323,0.0420165863661323,-0.035143245648386,0.0,0.0,single_period_hold,normal
UAL,1,1.0,0.04085600022917868,0.0408560002291786,0.0408560002291786,0.0408560002291786,-0.0119517727816871,0.0,0.0,single_period_hold,normal
VRTX,6,0.3333333333333333,0.03905245229586707,0.010498286176994448,0.1970963336308135,-0.0809043726470571,-0.10657287246050084,71.83333333333333,154.0,scheduled_rebalance,profitable_reentry_churn
UBER,2,0.5,0.038649962308686225,0.025449417106776943,0.1390123720522282,-0.0881135378386743,-0.07765648752113995,91.5,92.0,scheduled_rebalance,normal
WRB,2,0.5,0.03843777657630976,0.02026068759753765,0.0702015934832995,-0.0296802182882242,-0.0239552185361128,46.5,60.0,scheduled_rebalance,normal
CELH,1,1.0,0.036172843273775124,0.0361728432737751,0.0361728432737751,0.0361728432737751,0.0154042354265155,0.0,0.0,single_period_hold,normal
EL,2,0.5,0.03468984045081758,0.022331435027618196,0.1246628700552363,-0.0799999999999999,0.001478488707039349,60.5,121.0,single_period_hold,normal
