signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2021-10-19,2021-10-20,main,GREEN,0.24999999999999997,0.14999999999999997,0.03,-0.09325088757872668,0.0,0.090384682440661,0.1,44.0837902528531,RELEASE_CASH
2021-10-20,2021-10-21,main,GREEN,0.14999999999999997,0.0903782991990737,0.03,-0.09341774515618595,0.0,0.0903782991990737,0.05962170080092627,26.27866890497681,RELEASE_CASH
2021-11-01,2021-11-02,main,GREEN,0.0903782991990737,0.03,0.03,-0.05735592420472557,0.0,0.0256937094618486,0.0603782991990737,27.670716569085634,RELEASE_CASH
2021-11-30,2021-12-01,main,WATCH,0.03,0.15,0.15,-0.06936998985509335,0.0,0.0259700197776726,0.12,54.40920656306789,RAISE_CASH
2021-12-01,2021-12-02,main,WATCH,0.15,0.35,0.15,-0.1224857006588832,0.35,0.2856435360278193,0.19999999999999998,85.50633487426857,RAISE_CASH
2021-12-06,2021-12-07,main,WATCH,0.35,0.55,0.15,-0.15279671650724502,0.55,0.2967572072094012,0.20000000000000007,82.55278315043309,RAISE_CASH
2021-12-07,2021-12-08,main,WATCH,0.55,0.45000000000000007,0.15,-0.1352548603075162,0.35,0.2872337187912563,0.09999999999999998,42.131044218288274,RELEASE_CASH
2021-12-08,2021-12-09,main,WATCH,0.45000000000000007,0.3500000000000001,0.15,-0.1326274149314437,0.35,0.2860145428848483,0.09999999999999998,42.25905536543367,RELEASE_CASH
2021-12-09,2021-12-10,main,GREEN,0.3500000000000001,0.55,0.03,-0.15064830222128467,0.55,0.2926137583722633,0.19999999999999996,82.76212792295915,RAISE_CASH
2021-12-10,2021-12-13,main,GREEN,0.55,0.45000000000000007,0.03,-0.14858002905147405,0.35,0.2912691937252578,0.09999999999999998,41.481831811303834,RELEASE_CASH
2021-12-13,2021-12-14,main,GREEN,0.45000000000000007,0.55,0.03,-0.16699665625766014,0.55,0.299523404047084,0.09999999999999998,40.584559656121236,RAISE_CASH
2021-12-27,2021-12-28,main,GREEN,0.55,0.45000000000000007,0.03,-0.14343948234291348,0.35,0.2870375393070599,0.09999999999999998,41.73228317638645,RELEASE_CASH
