rebalance_date,hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cost_bps,gross_return,original_gross_return,cost,turnover,net_return,return_delta,risk_exit_count,n_positions
2022-08-31,-0.08,3,score_power,1,25.0,-0.01720141269845563,-0.01720141269845563,0.0008994734024312648,0.3597893609725059,-0.018100886100886893,0.0,0,3
2022-09-30,-0.08,3,score_power,1,25.0,0.15010012494358588,0.15010012494358588,0.0002079236667158467,0.08316946668633868,0.14989220127687003,0.0,0,3
2022-10-31,-0.08,3,score_power,1,25.0,-0.0034587104822577566,-0.0034587104822577566,0.00018777174878665534,0.07510869951466213,-0.003646482231044412,0.0,0,3
2022-11-30,-0.08,3,score_power,1,25.0,-0.02594488236695557,-0.02594488236695557,0.0018750757695856829,0.7500303078342732,-0.027819958136541253,0.0,0,3
2022-12-30,-0.08,3,score_power,1,25.0,0.05081189151278628,0.05081189151278628,0.0013667612928787685,0.5467045171515074,0.049445130219907506,0.0,0,3
2023-01-31,-0.08,3,score_power,1,25.0,-0.019519255206094453,-0.019519255206094453,0.0016304520493327316,0.6521808197330926,-0.021149707255427183,0.0,0,3
2023-02-28,-0.08,3,score_power,1,25.0,0.05437659561866866,0.05437659561866866,0.0017253890481281218,0.6901556192512487,0.05265120657054054,0.0,0,3
2023-03-31,-0.08,3,score_power,1,25.0,0.01316858911952161,0.01316858911952161,0.0001855196709208719,0.07420786836834876,0.012983069448600738,0.0,0,3
2023-04-28,-0.08,3,score_power,1,25.0,0.12370565367932823,0.12370565367932823,0.0007671837632054222,0.3068735052821689,0.12293846991612281,0.0,0,3
2023-05-31,-0.08,3,score_power,1,25.0,0.0671625686990886,0.0671625686990886,0.0012496391346886089,0.4998556538754435,0.0659129295644,0.0,0,3
2023-06-30,-0.08,3,score_power,1,25.0,0.005858787470078834,0.005858787470078834,0.001341155623944355,0.536462249577742,0.00451763184613448,0.0,0,3
2023-07-31,-0.08,3,score_power,1,25.0,0.047523551227653144,0.047523551227653144,0.0017663268853191103,0.7065307541276441,0.045757224342334035,0.0,0,3
2023-08-31,-0.08,3,score_power,1,25.0,-0.05536752494441373,-0.05536752494441373,0.0013968397689962792,0.5587359075985117,-0.05676436471341001,0.0,0,3
2023-09-29,-0.08,3,score_power,1,25.0,-0.024976881158670052,-0.024976881158670052,0.0007172415930021345,0.2868966372008538,-0.025694122751672186,0.0,0,3
